name,games,position,minutes,fg,fga,fg_pct,fga_game,two_fg,two_fga,two_game,two_pct,three_fg,three_fga,three_pct,three_game,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,pts_game,ball_one,ball_two,ball_three,ball_four,ball_five,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five
Amile Jefferson,22,F,481,65,95,0.6842105263157895,4.318181818181818,65,95,4.318181818181818,0.6842105263157895,0,0,NaN,0,30,55,0.5454545454545454,1.368421052631579,NaN,1.6842105263157894,60,78,138,25,15,14,25,48,160,7.2727272727272725,0.8717219212777778,0.7614737605,0.8337759057,0.8433667563809524,0.9158316853499999,0.8110993737619048,0.7571863709090909,0.7660055027272727,0.8309528543636364,0.8777029905909091
Grayson Allen,19,G,207,33,69,0.4782608695652174,3.6315789473684212,19,31,1.631578947368421,0.6129032258064516,14,38,0.3684210526315789,2,26,30,0.8666666666666667,1.2258064516129032,1.105263157894737,1.536231884057971,7,15,22,11,7,5,10,32,106,5.578947368421052,1.456100370625,0.9906979816666667,0.933494101,1.007803598,1.0016105608421053,0.8506187858571429,0.8374321075263158,0.7075754361578948,0.9660931989444445,0.9128155200526316
Jahlil Okafor,21,C,599,168,252,0.6666666666666666,12,168,252,12,0.6666666666666666,0,0,NaN,0,58,108,0.5370370370370371,1.3333333333333333,NaN,1.5634920634920635,71,102,173,29,18,34,50,41,394,18.761904761904763,0.6679084624285715,0.8277570050476191,0.8445157480000001,1.058897901,0.889024936,0.837683774,0.7788493782857143,0.8290085912380952,0.7989585558571428,0.9148114097619048
Justise Winslow,22,F,608,98,190,0.5157894736842106,8.636363636363637,74,136,6.181818181818182,0.5441176470588235,24,54,0.4444444444444444,2.4545454545454546,54,90,0.6,1.088235294117647,1.3333333333333333,1.4421052631578948,28,117,145,59,33,18,38,50,274,12.454545454545455,1.06789054745,0.8851166683809524,0.9092606011818182,0.9459644219090909,0.9371683345,0.8364126120555555,0.8151726238636364,0.8539543078181818,0.9025535752727273,0.8883386423636364
Marshall Plumlee,22,C,251,25,30,0.8333333333333334,1.3636363636363635,24,29,1.3181818181818181,0.8275862068965517,1,1,1,0.045454545454545456,21,27,0.7777777777777778,1.6551724137931034,3,2.4,29,34,63,9,8,17,7,35,72,3.272727272727273,1.1683667842,0.6870608353076924,0.7012336368461538,0.7926488681428572,0.86179649216666665,0.739187138,0.7354199137727273,0.708794666409091,0.8300615840909091,0.8544206333636364
Matt Jones,22,G,471,51,116,0.4396551724137931,5.2727272727272725,26,55,2.5,0.4727272727272727,25,61,0.4098360655737705,2.772727272727273,20,27,0.7407407407407407,0.9454545454545454,1.2295081967213115,1.2672413793103448,18,31,49,18,17,1,14,37,147,6.681818181818182,1.3205212476153847,0.9590029976,0.9481832555625,0.9620936244210526,0.9478138556363637,0.8221745136315789,0.8131828166363636,0.8572269776818182,0.8985509056363636,0.8497200963181818
Nick Pagliuca,5,G,14,1,5,0.2,1,0,1,0.2,0,1,4,0.25,0.8,0,0,NaN,0,0.75,0.6,2,2,4,1,0,0,0,2,3,0.6,NaN,NaN,NaN,1.0225606135,0.8558926505,0.728346551,0.743811301,1.0812153545,0.9162282884,0.852532926
Quinn Cook,22,G,756,120,255,0.47058823529411764,11.590909090909092,58,102,4.636363636363637,0.5686274509803921,62,153,0.40522875816993464,6.954545454545454,39,42,0.9285714285714286,1.1372549019607843,1.2156862745098038,1.3372549019607842,8,68,76,72,23,0,26,39,341,15.5,0.9641200131250001,0.9361145262380952,1.0233793882727273,1.0171669701818182,1.036029519090909,0.8194950554117647,0.8109098186818182,0.8340759453636364,0.9341108092272727,0.9301051111363636
Rasheed Sulaimon,13,G,260,37,81,0.4567901234567901,6.230769230769231,20,42,3.230769230769231,0.47619047619047616,17,39,0.4358974358974359,3,16,23,0.6956521739130435,0.9523809523809523,1.3076923076923077,1.3209876543209877,2,22,24,25,12,1,16,23,107,8.23076923076923,1.697037261,0.8847334987692308,0.9058903781538462,0.9947273621538462,1.0230865966923077,0.925630918875,0.7056686671538461,0.8539316882307693,0.9193236229230769,0.937743365076923
Sean Kelly,2,G,5,0,1,0,0.5,0,0,0,NaN,0,1,0,0.5,0,0,NaN,NaN,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0.832917678,NaN,NaN,1.2899652145,0.948041887,0.919306297
Semi Ojeleye,6,F,63,5,18,0.2777777777777778,3,1,2,0.3333333333333333,0.5,4,16,0.25,2.6666666666666665,4,7,0.5714285714285714,1,0.75,1,3,11,14,1,3,0,0,11,18,3,NaN,0.8234765625,1.264208607,0.968268926,0.7584565174,0.8567343836666667,0.7743863360000001,0.8610847642,0.8825350866666667,0.7911523708333333
Tyus Jones,22,G,700,64,161,0.39751552795031053,7.318181818181818,38,94,4.2727272727272725,0.40425531914893614,26,67,0.3880597014925373,3.0454545454545454,60,72,0.8333333333333334,0.8085106382978723,1.164179104477612,1.329192546583851,8,61,69,128,38,0,43,24,214,9.727272727272727,1.0219465056428572,1.0431434763333334,0.9524030979,0.9996267812272727,1.0322379876818182,0.7442367819375,0.7957201534545455,0.7715396709545455,0.8363735673181818,0.9065306910909091
