,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
131,20150119,756883,0,"(1.0, 2)","(0.8165522209079669, 10)","(0.961214017463731, 13)","(0.8920381426793407, 102)",0,"(0.4849812117061398, 1)",0,"(0.9701733854908414, 1)","(0.9780260267760221, 31)"
132,20150119,842296,0,0,0,"(0.7350471309643751, 2)","(0.5648608922441168, 3)",0,0,0,0,0
133,20150119,679480,0,0,0,"(1.0, 1)",0,0,0,0,0,0
134,20150204,842298,"(0.7221817042683449, 4)","(0.6346783713464714, 8)","(0.8174318546523607, 67)","(0.9763307253975898, 97)","(0.9317953786167698, 347)",0,"(0.6459355256485177, 4)","(0.9928529884177131, 6)","(1.027224377236992, 11)","(1.0490120419298934, 56)"
135,20150204,842301,"(0.8808123144262437, 4)","(0.8126651032868584, 11)","(0.7854867192477905, 418)","(0.7636816303028225, 71)","(1.22474035970037, 40)","(-0.8266024893990392, 5)","(0.5123368604028268, 6)","(0.845702487566019, 44)","(0.987930835204896, 3)","(0.7977957295012202, 3)"
136,20150204,842297,"(1.0, 1)",0,"(0.7941360404921767, 31)","(0.7670862069097346, 42)","(0.8778759932986662, 337)",0,"(0.7009049161022354, 2)","(0.938507727201556, 9)","(0.9163052730329498, 24)","(1.034407390655722, 211)"
137,20150204,601140,"(1.0, 1)","(0.7040345900020272, 5)","(0.8509384580860537, 33)","(0.9033563767733073, 42)","(0.93754584794841, 380)","(1.8266718286688095, 3)","(1.4793956781898105, 1)","(1.0837692285159857, 3)","(1.5371845221251574, 17)","(1.095045378137424, 147)"
138,20150204,696290,"(0.6755540141733493, 7)","(0.6083768098382424, 17)","(0.7841164196836887, 140)","(0.8406721941616485, 131)","(0.892825119693504, 92)",0,"(0.5723200870865682, 4)","(0.9135510117020484, 8)","(0.7432932111739406, 39)","(0.7574438829690426, 18)"
139,20150204,601143,0,"(0.8343959883429442, 9)","(0.7779315060076326, 63)","(0.8604015226229447, 17)","(0.9900167311072329, 2)",0,"(1.0144718101596333, 1)","(1.2386627845524183, 1)",0,0
140,20150204,842296,0,"(1.3824988729371115, 1)","(0.3325292436129865, 2)","(1.222848374334494, 1)","(0.8325011758201489, 41)",0,0,0,"(0.9147443105458086, 1)","(0.9852737906881788, 4)"
141,20150204,756883,"(1.0, 1)","(0.9029625383723021, 4)","(0.8467501306530664, 38)","(0.831463206201164, 42)","(0.84782723263335, 216)","(1.2377516520193295, 1)","(1.3916051765331918, 1)","(0.8711113938287139, 5)","(0.9797891584611341, 7)","(0.873970891547397, 45)"
142,20150207,842301,"(1.0, 6)","(0.8406060257725739, 10)","(0.8012405015129354, 321)","(0.8112182919045781, 59)","(0.8309529497216627, 19)","(1.1327123648296196, 2)","(0.5438064030739092, 7)","(0.8222609868712878, 37)",0,"(1.099537319476356, 1)"
143,20150207,696290,"(0.7654501855951636, 13)","(0.8765617475361156, 17)","(0.8382302630348047, 180)","(0.7999481991834558, 112)","(0.9284086981444805, 43)","(-1.272721622774241, 1)","(0.7891287801477423, 3)","(0.6307960855225729, 10)","(0.7134885220196308, 11)",0
144,20150207,601140,"(0.8517048957273543, 4)","(0.9180581045829258, 6)","(0.7550642036900124, 29)","(0.9554800748090444, 47)","(0.9704726761961058, 341)",0,"(0.9044807130182599, 2)","(0.8445716444234532, 14)","(0.9960183605820511, 11)","(1.085653662595574, 167)"
145,20150207,842298,"(1.0, 1)","(0.861141205193597, 6)","(0.8020889294418144, 124)","(0.8154790408798617, 94)","(0.9237859261484556, 247)","(1.2328038215444588, 2)","(1.1669604054552198, 6)","(0.7920985394641699, 16)","(0.8862964206175775, 19)","(0.9116167945489068, 77)"
