opponent,game_number,pts,opp_pts,fgm,fga,fg_pct,three_fgm,three_fga,three_pct,ftm,fta,ft_pct,PPS,PPS_two,PPS_three,asts,o_reb,d_reb,tot_reb,stl,blk,to,foul,eff_fg_pct,type,poss_length_Duke,poss_length_opp,result
Kentucky,1,118,84,43,79,0.5443037974683544,12,26,0.46153846153846156,20,29,0.6896551724137931,1.4936708860759493,1.169811320754717,1.3846153846153846,22,13,25,38,10,3,4,26,0.620253164556962,Non-Conference,9.525252525252526,8.310344827586206,Win
Army,2,94,72,35,72,0.4861111111111111,15,36,0.4166666666666667,9,13,0.6923076923076923,1.3055555555555556,1.1111111111111112,1.25,24,12,38,50,8,9,12,11,0.5902777777777778,Non-Conference,10.592592592592593,11.182926829268293,Win
EMU,3,84,46,36,75,0.48,5,22,0.22727272727272727,7,16,0.4375,1.12,1.169811320754717,0.6818181818181818,23,22,32,54,14,11,11,8,0.5133333333333333,Non-Conference,9.817073170731707,13.577464788732394,Win
SDSU,4,88,66,28,54,0.5185185185185185,10,23,0.43478260869565216,22,34,0.6470588235294118,1.6296296296296295,1.1612903225806452,1.3043478260869565,12,13,28,41,7,3,14,24,0.6111111111111112,Non-Conference,9.368421052631579,10.24,Win
Auburn,5,78,72,24,55,0.43636363636363634,7,25,0.28,23,34,0.6764705882352942,1.4181818181818182,1.1333333333333333,0.84,12,14,32,46,6,11,13,13,0.5,Non-Conference,8.987179487179487,11.24390243902439,Win
Gonzaga,6,87,89,31,72,0.4305555555555556,5,13,0.38461538461538464,20,26,0.7692307692307693,1.2083333333333333,0.8813559322033898,1.1538461538461537,9,22,22,44,5,6,10,18,0.4652777777777778,Non-Conference,9.25,11.631578947368421,Loss
Indiana,7,90,69,33,63,0.5238095238095238,7,20,0.35,17,29,0.5862068965517241,1.4285714285714286,1.2093023255813953,1.05,16,12,25,37,11,10,14,24,0.5793650793650794,Non-Conference,9.3625,9.807692307692308,Win
Stetson,8,109,53,43,76,0.5657894736842105,12,34,0.35294117647058826,11,17,0.6470588235294118,1.4342105263157894,1.4761904761904763,1.0588235294117647,29,20,31,51,18,4,17,13,0.6447368421052632,Non-Conference,8.35632183908046,11.71830985915493,Win
Hartford,9,84,54,35,69,0.5072463768115942,5,26,0.19230769230769232,9,13,0.6923076923076923,1.2173913043478262,1.3953488372093024,0.5769230769230769,18,16,30,46,15,10,13,13,0.5434782608695652,Non-Conference,8.487179487179487,14.492537313432836,Win
Yale,10,91,58,33,67,0.4925373134328358,5,21,0.23809523809523808,20,31,0.6451612903225806,1.3582089552238805,1.2173913043478262,0.7142857142857143,20,13,33,46,15,6,15,14,0.5298507462686567,Non-Conference,7.402298850574713,12.108108108108109,Win
Princeton,11,101,50,35,66,0.5303030303030303,10,25,0.4,21,25,0.84,1.5303030303030303,1.2195121951219512,1.2,23,15,33,48,12,12,10,10,0.6060606060606061,Non-Conference,7.758620689655173,14.746268656716419,Win
Texas Tech,12,69,58,23,60,0.38333333333333336,3,20,0.15,20,25,0.8,1.15,1,0.45,11,11,27,38,15,7,19,17,0.4083333333333333,Non-Conference,8.625,13.075757575757576,Win
Clemson,13,87,68,32,66,0.48484848484848486,7,22,0.3181818181818182,16,21,0.7619047619047619,1.3181818181818181,1.1363636363636365,0.9545454545454546,16,12,28,40,13,6,12,15,0.5378787878787878,Conference,10.365853658536585,11.125,Win
Wake Forest,14,87,65,36,62,0.5806451612903226,7,23,0.30434782608695654,8,16,0.5,1.403225806451613,1.4871794871794872,0.9130434782608695,24,13,29,42,7,13,17,22,0.6370967741935484,Conference,10.9,10.841463414634147,Win
Florida State,15,80,78,30,65,0.46153846153846156,11,24,0.4583333333333333,9,15,0.6,1.2307692307692308,0.926829268292683,1.375,14,15,19,34,7,3,14,15,0.5461538461538461,Conference,9.864864864864865,11.939024390243903,Win
Syracuse,16,91,95,31,80,0.3875,9,43,0.20930232558139536,20,27,0.7407407407407407,1.1375,1.1891891891891893,0.627906976744186,21,14,34,48,8,12,12,19,0.44375,Conference,9.86,11.627659574468085,Loss
Virginia,17,72,70,26,51,0.5098039215686274,2,14,0.14285714285714285,18,31,0.5806451612903226,1.411764705882353,1.2972972972972974,0.42857142857142855,6,10,22,32,5,1,8,18,0.5294117647058824,Conference,10.840579710144928,14.59375,Win
Pittsburgh,18,79,64,28,65,0.4307692307692308,7,23,0.30434782608695654,16,20,0.8,1.2153846153846153,1,0.9130434782608695,15,16,23,39,10,7,12,17,0.4846153846153846,Conference,10.765432098765432,11.185714285714285,Win
Georgia Tech,19,66,53,24,58,0.41379310344827586,2,21,0.09523809523809523,16,19,0.8421052631578947,1.1379310344827587,1.1891891891891893,0.2857142857142857,14,11,27,38,13,7,13,13,0.43103448275862066,Conference,10.405405405405405,14.25,Win
Notre Dame,20,83,61,32,59,0.5423728813559322,10,19,0.5263157894736842,9,16,0.5625,1.4067796610169492,1.1,1.5789473684210527,13,13,26,39,8,6,9,15,0.6271186440677966,Conference,11,13.794520547945206,Win
Saint John's,21,91,61,35,63,0.5555555555555556,7,26,0.2692307692307692,14,23,0.6086956521739131,1.4444444444444444,1.5135135135135136,0.8076923076923077,15,15,33,48,12,6,18,12,0.6111111111111112,Non-Conference,10.467532467532468,10.333333333333334,Win
