opponent,game_number,pts,opp_pts,fgm,fga,fg_pct,three_fgm,three_fga,three_pct,ftm,fta,ft_pct,PPS,PPS_two,PPS_three,asts,o_reb,d_reb,tot_reb,stl,blk,to,foul,eff_fg_pct,type,poss_length_Duke,poss_length_opp,result
Boston College,22,80,55,29,65,0.4461538461538462,7,24,0.2916666666666667,15,22,0.6818181818181818,1.2307692307692308,1.0731707317073171,0.875,14,14,29,43,9,9,7,12,0.5,Conference,11.6125,12.430769230769231,Win
Virginia(2),23,81,71,26,45,0.5777777777777777,13,21,0.6190476190476191,16,23,0.6956521739130435,1.8,1.0833333333333333,1.8571428571428572,18,8,17,25,12,5,15,10,0.7222222222222222,Conference,11.885245901639344,15.923076923076923,Win
Louisville,24,71,69,23,63,0.36507936507936506,7,28,0.25,18,24,0.75,1.126984126984127,0.9142857142857143,0.75,10,11,28,39,12,2,11,17,0.42063492063492064,Conference,9.246913580246913,13.142857142857142,Win
NC State,25,94,78,35,66,0.5303030303030303,3,16,0.1875,21,28,0.75,1.4242424242424243,1.28,0.5625,21,14,30,44,9,7,12,16,0.553030303030303,Conference,9.873563218390805,12.444444444444445,Win
UNC,26,72,88,25,72,0.3472222222222222,8,39,0.20512820512820512,14,19,0.7368421052631579,1,1.0303030303030303,0.6153846153846154,9,13,28,41,11,8,20,17,0.4027777777777778,Conference,9.744186046511627,10.717647058823529,Loss
Syracuse(2),27,75,65,26,59,0.4406779661016949,9,29,0.3103448275862069,14,16,0.875,1.271186440677966,1.1333333333333333,0.9310344827586207,16,14,30,44,2,6,13,16,0.5169491525423728,Conference,11.63013698630137,11.658536585365853,Win
Virginia Tech,28,72,77,25,50,0.5,7,21,0.3333333333333333,15,19,0.7894736842105263,1.44,1.2413793103448276,1,11,7,23,30,1,4,12,20,0.57,Conference,11.2,11.89041095890411,Loss
Miami,29,87,57,36,63,0.5714285714285714,6,17,0.35294117647058826,9,14,0.6428571428571429,1.380952380952381,1.3043478260869565,1.0588235294117647,18,12,33,45,10,4,16,14,0.6190476190476191,Conference,10.791666666666666,13.042857142857143,Win
Wake Forest(2),30,71,70,24,58,0.41379310344827586,7,22,0.3181818181818182,16,26,0.6153846153846154,1.2241379310344827,0.9444444444444444,0.9545454545454546,10,10,33,43,3,7,15,14,0.47413793103448276,Conference,10.27027027027027,12.448717948717949,Win
UNC(2),31,70,79,25,73,0.3424657534246575,8,32,0.25,12,17,0.7058823529411765,0.958904109589041,0.8292682926829268,0.75,15,16,33,49,5,7,12,12,0.3972602739726027,Conference,10.388235294117647,12.271604938271604,Loss
Syracuse(3),32,84,72,29,54,0.5370370370370371,7,23,0.30434782608695654,19,28,0.6785714285714286,1.5555555555555556,1.4193548387096775,0.9130434782608695,16,13,25,38,14,4,18,17,0.6018518518518519,ACC Tournament,9.767123287671232,12.015384615384615,Win
UNC(3),33,74,73,31,65,0.47692307692307695,5,20,0.25,7,13,0.5384615384615384,1.1384615384615384,1.1555555555555554,0.75,15,10,29,39,6,6,12,16,0.5153846153846153,ACC Tournament,13.319444444444445,11.927710843373495,Win
Florida State(2),34,73,63,27,55,0.4909090909090909,2,14,0.14285714285714285,17,21,0.8095238095238095,1.3272727272727274,1.2195121951219512,0.42857142857142855,11,10,29,39,8,6,13,17,0.509090909090909,ACC Tournament,10.680555555555555,11.794871794871796,Win
NDSU,35,85,62,33,65,0.5076923076923077,8,19,0.42105263157894735,11,17,0.6470588235294118,1.3076923076923077,1.0869565217391304,1.263157894736842,14,8,28,36,6,7,5,12,0.5692307692307692,NCAA Tournament,9.973684210526315,13.428571428571429,Win
UCF,36,77,76,30,67,0.44776119402985076,10,25,0.4,7,12,0.5833333333333334,1.1492537313432836,0.9523809523809523,1.2,15,13,23,36,8,3,8,18,0.5223880597014925,NCAA Tournament,11.27027027027027,12.884057971014492,Win
Virginia Tech(2),37,75,73,31,56,0.5535714285714286,6,20,0.3,7,10,0.7,1.3392857142857142,1.3888888888888888,0.9,22,8,22,30,6,6,12,15,0.6071428571428571,NCAA Tournament,13.698412698412698,12.552631578947368,Win
Michigan St,38,67,68,26,57,0.45614035087719296,7,21,0.3333333333333333,8,13,0.6153846153846154,1.1754385964912282,1.0555555555555556,1,14,13,29,42,4,9,17,9,0.5175438596491229,NCAA Tournament,12.076923076923077,14.194444444444445,Loss
