game_number,opponent,result,pts,opp_pts,fg,fga,fg_pct,three_fg,three_fga,three_pct,PPS_two,PPS_three,PPS,eff_fg_pct,ft,fta,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,shot_making,ePPS,pt_diff,game,grav1,grav2,grav3,grav4,grav5
1,Presbyterian,W,113,44,42,69,0.6086956521739131,16,31,0.5161290322580645,1.368421052631579,1.5483870967741935,1.4492753623188406,0.7246376811594203,13,16,16,29,45,30,12,4,9,17,0.3254858851739131,1.1237894771449275,69,20141114,0.15228769614,0.31099653932,0.80368964328,0.80582527352,0.86653603094
2,Fairfield,W,109,59,40,62,0.6451612903225806,9,22,0.4090909090909091,1.55,1.2272727272727273,1.435483870967742,0.717741935483871,20,28,12,26,38,22,12,4,12,17,0.21051303582258063,1.2249708351451614,50,20141115,0.24421954725,0.4632187341538462,0.6622225622884615,0.7246382534423077,0.8909457946346154
3,Michigan State,W,81,71,27,50,0.54,7,14,0.5,1.1111111111111112,1.5,1.22,0.61,20,26,4,18,22,15,6,5,8,16,0.00922746225999993,1.21077253774,10,20141118,0.21267624104651162,0.2971613515116279,0.8201708148372093,0.8418339244418604,0.9266883429069768
4,Temple,W,74,54,25,64,0.390625,7,23,0.30434782608695654,0.8780487804878049,0.9130434782608695,0.890625,0.4453125,17,26,13,24,37,14,9,5,9,16,-0.26687079782812506,1.157495797828125,20,20141121,0.22562247679166667,0.461773852625,0.7574613276666666,0.7318005051250001,0.8506893092291666
5,Stanford,W,70,59,22,56,0.39285714285714285,9,25,0.36,0.8387096774193549,1.08,0.9464285714285714,0.4732142857142857,17,29,15,22,37,16,9,3,9,15,-0.13525409712500003,1.0816826685535714,11,20141122,0.249771189075,0.298966783975,0.7100097214,0.7082314927,0.8804988315
6,Furman,W,93,54,38,66,0.5757575757575758,11,29,0.3793103448275862,1.4594594594594594,1.1379310344827587,1.3181818181818181,0.6590909090909091,6,10,13,26,39,24,5,4,7,17,0.12896623676643348,1.1892155814153846,39,20141126,0.3211417058431373,0.34867596449019606,0.7843665421568627,0.7395618769803922,0.8405183292352941
7,Army,W,93,73,31,60,0.5166666666666667,4,19,0.21052631578947367,1.3170731707317074,0.631578947368421,1.1,0.55,27,37,16,25,41,20,9,4,10,17,-0.10424351659999997,1.2042435166,20,20141130,0.2741836615625,0.3698562478125,0.7678544816458334,0.7531092795,0.8367967867291667
9,Elon,W,75,62,29,56,0.5178571428571429,3,16,0.1875,1.3,0.5625,1.0892857142857142,0.5446428571428571,14,27,13,25,38,14,12,5,17,14,-0.1201814544821429,1.209467168767857,13,20141215,0.2259521102051282,0.4395510784102564,0.7463268380769231,0.8033914382307692,0.8878370145128205
11,Toledo,W,86,69,29,52,0.5576923076923077,6,15,0.4,1.2432432432432432,1.2,1.2307692307692308,0.6153846153846154,22,30,10,22,32,18,6,2,13,18,0.026556919096153875,1.204212311673077,17,20141229,0.19777415643902438,0.4267047369512195,0.7739484566097561,0.7942108652926829,0.9003649496829268
12,Wofford,W,84,55,29,52,0.5576923076923077,8,16,0.5,1.1666666666666667,1.5,1.2692307692307692,0.6346153846153846,18,25,7,27,34,13,10,2,8,14,0.02974170361538464,1.2394890656153845,29,20141231,0.3136288864878049,0.5609741081707317,0.8098402115365854,0.8138934612682927,0.8616466646829268
