game_number,game_id,name,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts
11,20141229,Quinn Cook,Toledo,W,1,37,6,12,0.5,4,6,0.6666666666666666,2,6,0.3333333333333333,6,6,1,1.3333333333333333,1,1.6666666666666667,0,1,1,3,0,0,2,4,20
12,20141231,Quinn Cook,Wofford,W,1,35,5,8,0.625,2,2,1,3,6,0.5,2,2,1,2,1.5,1.875,0,1,1,2,1,0,0,1,15
13,20150103,Quinn Cook,Boston College,W,1,34,5,14,0.35714285714285715,2,5,0.4,3,9,0.3333333333333333,2,2,1,0.8,1,1.0714285714285714,1,2,3,2,1,0,3,3,15
14,20150107,Quinn Cook,Wake Forest,W,1,39,3,10,0.3,2,4,0.5,1,6,0.16666666666666666,5,5,1,1,0.5,1.2,0,4,4,2,2,0,2,3,12
15,20150111,Quinn Cook,NC State,L,1,37,6,13,0.46153846153846156,2,6,0.3333333333333333,4,7,0.5714285714285714,2,2,1,0.6666666666666666,1.7142857142857142,1.3846153846153846,1,3,4,2,0,1,1,2,18
16,20150113,Quinn Cook,Miami (FL),L,1,38,7,13,0.5384615384615384,3,6,0.5,4,7,0.5714285714285714,0,0,NaN,1,1.7142857142857142,1.3846153846153846,0,6,6,4,0,0,2,3,18
17,20150117,Quinn Cook,Louisville,W,1,35,2,9,0.2222222222222222,0,2,0,2,7,0.2857142857142857,1,2,0.5,0,0.8571428571428571,0.7777777777777778,0,5,5,0,3,0,0,2,7
18,20150119,Quinn Cook,Pitt,W,1,38,3,10,0.3,2,2,1,1,8,0.125,4,4,1,2,0.375,1.1,1,9,10,2,1,0,1,0,11
19,20150125,Quinn Cook,St. John's (NY),W,1,38,5,13,0.38461538461538464,1,5,0.2,4,8,0.5,3,3,1,0.4,1.5,1.3076923076923077,1,3,4,2,2,0,3,2,17
20,20150128,Quinn Cook,Notre Dame,L,1,40,5,11,0.45454545454545453,2,5,0.4,3,6,0.5,2,2,1,0.8,1.5,1.3636363636363635,0,3,3,2,0,0,1,3,15
21,20150131,Quinn Cook,Virginia,W,1,36,6,10,0.6,3,6,0.5,3,4,0.75,0,1,0,1,2.25,1.5,1,2,3,1,0,0,1,2,15
22,20150204,Quinn Cook,Georgia Tech,W,1,37,6,14,0.42857142857142855,5,6,0.8333333333333334,1,8,0.125,4,5,0.8,1.6666666666666667,0.375,1.2142857142857142,0,3,3,4,1,0,0,1,17
