JO_flag,JW_flag,QC_flag,TJ_flag,AJ_flag,GA_flag,RS_flag,NP_flag,MJ_flag,SK_flag,MP_flag,SO_flag,epps,pps,grav1,grav2,grav3,grav4,grav5,tally
Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,0.8513488825,0.5,0,0.42350244175,0.700730108,0.7746185995,0.645883864,4
Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,1.3277697265000001,3,0.226581462,1.071935754,0.929589171,1.1429731754999999,1.019763811,2
Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,0.91287125275,1.25,0.39255078774999996,0.14828185375,0.7685147845,0.72544308775,0.901335896,4
Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,1.118102652625,1.375,0.14707441220833334,0.3200283164166667,0.864738779125,0.819950122375,0.8613604075833333,24
Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,0.910081846,1.1428571428571428,0.19920630857142857,0.28295173514285715,0.7754923828571428,0.88953592257142855,0.9791527404285714,7
Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,1.2769410239999999,1,0.5,0.2684405905,0.3874908725,0.272626318,0.7796663755,2
Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,1.5724748108888889,1.8888888888888888,0.6161858182222222,0.4322625574444445,0.8864344502222222,0.8035908005555555,0.9368981286666667,9
Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,1.0342936965,0.5714285714285714,0.29137574214285716,0.7251298674285714,0.7459351951428571,0.7901927090714286,0.8574272786428572,14
Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,1.4848110675,2,0,1,0.6832790185,0.40146862299999997,0.8614426935,2
Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,1.2286850313333333,0.6666666666666666,0.3333333333333333,0,0.79517227,0.48803504633333333,0.7928683256666667,3
Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,1.2005739040282486,1.1073446327683616,0.23667686036158192,0.36171082827118645,0.7878217886610169,0.8445198918248588,0.8798943374237288,177
Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,1.0099920132222222,0.9629629629629629,0.22664304422222223,0.39309428603703706,0.8410482569259259,0.7734192506666666,0.8627965778888889,27
Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,1.3188256777222223,1.3888888888888888,0.24145965816666667,0.4504036742777778,0.8524938386666666,0.7954923267222223,0.8885365441111112,18
Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,1.149116209102767,1.1936758893280632,0.24498413537549407,0.46532929344268775,0.7468307904466404,0.761980727339921,0.8855684919249012,253
