team_name,shot_text,color,date,outcome,shooter,assisted,three_pt,x,y,game_number,season
Army,Kyle Wilson missed Three Point Jumper.,#ce9c00,16404,missed,Kyle Wilson,NA,TRUE,24,27.15555555555555,1,2014-15
Army,Tanner Plomb made Jumper.,#ce9c00,16404,made,Tanner Plomb,NA,FALSE,27,17.755555555555556,1,2014-15
Army,Kyle Wilson missed Jumper.,#ce9c00,16404,missed,Kyle Wilson,NA,FALSE,29,7.311111111111111,1,2014-15
Army,Dylan Cox missed Jumper.,#ce9c00,16404,missed,Dylan Cox,NA,FALSE,20,8.355555555555556,1,2014-15
Army,Kyle Wilson made Three Point Jumper. Assisted by Dylan Cox.,#ce9c00,16404,made,Kyle Wilson,Dylan Cox,TRUE,47,8.355555555555556,1,2014-15
Army,Tanner Plomb made Jumper.,#ce9c00,16404,made,Tanner Plomb,NA,FALSE,38,4.177777777777778,1,2014-15
Army,Kyle Wilson made Layup.,#ce9c00,16404,made,Kyle Wilson,NA,FALSE,30,5.222222222222221,1,2014-15
Army,Luke Morrison missed Jumper.,#ce9c00,16404,missed,Luke Morrison,NA,FALSE,32,6.266666666666667,1,2014-15
Army,Dylan Cox made Layup.,#ce9c00,16404,made,Dylan Cox,NA,FALSE,23,7.311111111111111,1,2014-15
Army,Maxwell Lenox missed Layup.,#ce9c00,16404,missed,Maxwell Lenox,NA,FALSE,21.999999999999996,6.266666666666667,1,2014-15
Army,Kyle Wilson missed Layup.,#ce9c00,16404,missed,Kyle Wilson,NA,FALSE,29,6.266666666666667,1,2014-15
Army,Kyle Wilson missed Three Point Jumper.,#ce9c00,16404,missed,Kyle Wilson,NA,TRUE,40,21.93333333333333,1,2014-15
Army,Kyle Wilson made Three Point Jumper. Assisted by Dylan Cox.,#ce9c00,16404,made,Kyle Wilson,Dylan Cox,TRUE,34,27.15555555555555,1,2014-15
Army,Tanner Plomb missed Layup.,#ce9c00,16404,missed,Tanner Plomb,NA,FALSE,21.999999999999996,6.266666666666667,1,2014-15
Army,Kyle Wilson missed Jumper.,#ce9c00,16404,missed,Kyle Wilson,NA,FALSE,12,21.93333333333333,1,2014-15
Army,Tanner Plomb missed Jumper.,#ce9c00,16404,missed,Tanner Plomb,NA,FALSE,15,17.755555555555556,1,2014-15
