time,time_diff,team,play,home_score,away_score,fgm,fga,three_fgm,three_fga,ftm,fta,PPS,asts,o_reb,d_reb,stl,blk,to,foul,game_number
1065,4,Opponent,PJ Washington made Dunk. Assisted by Keldon Johnson.,66,45,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
1051,14,Opponent,Foul on PJ Washington.,66,45,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
1051,0,Duke,Cam Reddish made Free Throw.,67,45,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
1051,0,Duke,Cam Reddish made Free Throw.,68,45,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
1037,14,Duke,Foul on Marques Bolden.,68,45,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
1031,6,Opponent,EJ Montgomery missed Layup.,68,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1031,0,Opponent,EJ Montgomery Offensive Rebound.,68,45,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
1028,3,Duke,Jump Ball won by Duke,68,45,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1028,0,Opponent,EJ Montgomery Turnover.,68,45,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
1028,0,Duke,Javin DeLaurier Steal.,68,45,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,1
1025,3,Duke,Tre Jones missed Jumper.,68,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1025,0,Opponent,EJ Montgomery Defensive Rebound.,68,45,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
1020,5,Opponent,Keldon Johnson missed Layup.,68,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1020,0,Opponent,Reid Travis Offensive Rebound.,68,45,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
1016,4,Opponent,Reid Travis made Jumper.,68,47,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
996,20,Duke,Zion Williamson made Jumper.,70,47,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
985,11,Opponent,Immanuel Quickley Turnover.,70,47,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
985,0,Duke,Jack White Steal.,70,47,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,1
978,7,Duke,RJ Barrett made Jumper.,72,47,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
957,21,Opponent,Keldon Johnson missed Jumper.,72,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
957,0,Duke,Tre Jones Defensive Rebound.,72,47,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
949,8,Opponent,Foul on Keldon Johnson.,72,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
949,0,Official,Official TV Timeout,72,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
949,0,Duke,RJ Barrett missed Free Throw.,72,47,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
949,0,Duke,Duke Deadball Team Rebound.,72,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
949,0,Duke,RJ Barrett missed Free Throw.,72,47,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
949,0,Opponent,Tyler Herro Defensive Rebound.,72,47,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
947,2,Opponent,Ashton Hagans Turnover.,72,47,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
947,0,Duke,Tre Jones Steal.,72,47,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,1
942,5,Duke,Tre Jones missed Layup.,72,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
942,0,Duke,Zion Williamson Offensive Rebound.,72,47,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
939,3,Duke,Zion Williamson made Dunk.,74,47,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
914,25,Opponent,EJ Montgomery missed Jumper.,74,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
914,0,Duke,Tre Jones Defensive Rebound.,74,47,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
899,15,Duke,Jack White missed Three Point Jumper.,74,47,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
899,0,Duke,Zion Williamson Offensive Rebound.,74,47,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
893,6,Opponent,Foul on EJ Montgomery.,74,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
893,0,Duke,Zion Williamson missed Free Throw.,74,47,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
893,0,Duke,Duke Deadball Team Rebound.,74,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
893,0,Duke,Zion Williamson made Free Throw.,75,47,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
881,12,Opponent,Nick Richards missed Layup.,75,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
881,0,Duke,Zion Williamson Block.,75,47,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,1
881,0,Duke,Zion Williamson Defensive Rebound.,75,47,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
878,3,Duke,RJ Barrett made Layup. Assisted by Zion Williamson.,77,47,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
878,0,Opponent,Foul on PJ Washington.,77,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
878,0,Duke,RJ Barrett made Free Throw.,78,47,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
865,13,Duke,Foul on Javin DeLaurier.,78,47,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
865,0,Opponent,Reid Travis made Free Throw.,78,48,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
865,0,Opponent,Reid Travis made Free Throw.,78,49,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
851,14,Duke,Zion Williamson made Layup.,80,49,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
836,15,Duke,Foul on Zion Williamson.,80,49,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
836,0,Opponent,Reid Travis missed Free Throw.,80,49,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
836,0,Opponent,Kentucky Deadball Team Rebound.,80,49,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
836,0,Opponent,Reid Travis made Free Throw.,80,50,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
827,9,Duke,RJ Barrett missed Jumper.,80,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
827,0,Duke,Jack White Offensive Rebound.,80,50,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
823,4,Opponent,Foul on Keldon Johnson.,80,50,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
820,3,Duke,Marques Bolden made Dunk. Assisted by RJ Barrett.,82,50,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
806,14,Duke,Foul on RJ Barrett.,82,50,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
806,0,Opponent,Reid Travis made Free Throw.,82,51,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
806,0,Opponent,Reid Travis made Free Throw.,82,52,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
793,13,Duke,Jack White made Three Point Jumper. Assisted by RJ Barrett.,85,52,1,1,1,1,0,0,3,1,0,0,0,0,0,0,1
773,20,Opponent,Reid Travis Turnover.,85,52,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
757,16,Duke,RJ Barrett missed Jumper.,85,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
757,0,Opponent,Tyler Herro Defensive Rebound.,85,52,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
742,15,Duke,Foul on Jack White.,85,52,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
742,0,Opponent,Keldon Johnson made Free Throw.,85,53,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
742,0,Opponent,Keldon Johnson made Free Throw.,85,54,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
730,12,Duke,Alex O'Connell made Three Point Jumper. Assisted by Cam Reddish.,88,54,1,1,1,1,0,0,3,1,0,0,0,0,0,0,1
713,17,Opponent,Tyler Herro Turnover.,88,54,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
713,0,Duke,Cam Reddish Steal.,88,54,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,1
708,5,Duke,Alex O'Connell made Three Point Jumper. Assisted by Jack White.,91,54,1,1,1,1,0,0,3,1,0,0,0,0,0,0,1
692,16,Opponent,Immanuel Quickley missed Three Point Jumper.,91,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
692,0,Opponent,Reid Travis Offensive Rebound.,91,54,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
686,6,Opponent,PJ Washington made Dunk. Assisted by Tyler Herro.,91,56,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
675,11,Duke,Cam Reddish missed Layup.,91,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
675,0,Opponent,Reid Travis Block.,91,56,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,1
675,0,Opponent,Tyler Herro Defensive Rebound.,91,56,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
669,6,Opponent,Reid Travis made Layup. Assisted by Tyler Herro.,91,58,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
