time,time_diff,team,play,home_score,away_score,fgm,fga,three_fgm,three_fga,ftm,fta,PPS,asts,o_reb,d_reb,stl,blk,to,foul,game_number
506,14,Duke,RJ Barrett missed Jumper.,34,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
506,0,Duke,Duke Deadball Team Rebound.,34,19,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
505,1,Opponent,Foul on PJ Washington.,34,19,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
505,0,Duke,Antonio Vrankovic made Free Throw.,35,19,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
505,0,Duke,Antonio Vrankovic made Free Throw.,36,19,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
489,16,Opponent,Reid Travis made Layup. Assisted by Quade Green.,36,21,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
489,0,Duke,Foul on Antonio Vrankovic.,36,21,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
489,0,Opponent,Reid Travis made Free Throw.,36,22,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
477,12,Opponent,Foul on Keldon Johnson.,36,22,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
477,0,Duke,Cam Reddish made Free Throw.,37,22,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
477,0,Official,Official TV Timeout,36,22,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
477,0,Duke,Cam Reddish made Free Throw.,38,22,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
454,23,Duke,Foul on Alex O'Connell.,38,22,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
454,0,Opponent,Immanuel Quickley made Free Throw.,38,23,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
454,0,Opponent,Immanuel Quickley made Free Throw.,38,24,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
440,14,Duke,Cam Reddish missed Three Point Jumper.,38,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
440,0,Duke,Alex O'Connell Offensive Rebound.,38,24,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
435,5,Duke,Alex O'Connell missed Jumper.,38,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
435,0,Opponent,Tyler Herro Block.,38,24,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,1
435,0,Opponent,Kentucky Defensive Rebound.,38,24,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
412,23,Opponent,Keldon Johnson made Jumper. Assisted by Ashton Hagans.,38,26,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
401,11,Opponent,Foul on Ashton Hagans.,38,26,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
401,0,Duke,Cam Reddish made Free Throw.,39,26,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
401,0,Duke,Cam Reddish made Free Throw.,40,26,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
390,11,Opponent,Immanuel Quickley missed Jumper.,40,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
390,0,Duke,Jack White Defensive Rebound.,40,26,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
379,11,Duke,RJ Barrett made Layup.,42,26,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
362,17,Opponent,Foul on Nick Richards.,42,26,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
362,0,Opponent,Nick Richards Turnover.,42,26,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
354,8,Duke,Zion Williamson missed Jumper.,42,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
354,0,Duke,Marques Bolden Offensive Rebound.,42,26,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
348,6,Duke,RJ Barrett made Three Point Jumper. Assisted by Marques Bolden.,45,26,1,1,1,1,0,0,3,1,0,0,0,0,0,0,1
343,5,Opponent,Kentucky  Timeout,45,26,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
329,14,Duke,Foul on Marques Bolden.,45,26,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
329,0,Opponent,Reid Travis made Free Throw.,45,27,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
329,0,Opponent,Reid Travis made Free Throw.,45,28,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
306,23,Duke,Zion Williamson made Layup. Assisted by Tre Jones.,47,28,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
291,15,Duke,Foul on Jack White.,47,28,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
291,0,Opponent,Tyler Herro made Free Throw.,47,29,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
291,0,Opponent,Tyler Herro made Free Throw.,47,30,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
291,0,Opponent,Tyler Herro made Free Throw.,47,31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
283,8,Opponent,Foul on EJ Montgomery.,47,31,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
283,0,Duke,Zion Williamson made Free Throw.,48,31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
283,0,Duke,Zion Williamson missed Free Throw.,48,31,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
283,0,Opponent,Keldon Johnson Defensive Rebound.,48,31,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
