name,games,position,minutes,fg,fga,fg_pct,fga_game,two_fg,two_fga,two_game,two_pct,three_fg,three_fga,three_pct,three_game,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,pts_game,frames_three_ball,frames_four_ball,frames_five_ball,frames_three,frames_four,frames_five,w_ball_three,w_ball_four,w_ball_five,w_off_three,w_off_four,w_off_five
Amile Jefferson,22,F,481,65,95,0.6842105263157895,4.318181818181818,65,95,4.318181818181818,0.6842105263157895,0,0,NaN,0,30,55,0.5454545454545454,1.368421052631579,NaN,1.6842105263157894,60,78,138,25,15,14,25,48,160,7.2727272727272725,227,257,231,3735,1994,1588,0.7726661256089268,0.7520000035843147,0.9265926619672609,0.7582460744446148,0.8181969730151866,0.8732328177424818
Grayson Allen,21,G,208,33,70,0.4714285714285714,3.3333333333333335,19,32,1.5238095238095237,0.59375,14,38,0.3684210526315789,1.8095238095238095,26,30,0.8666666666666667,1.1875,1.105263157894737,1.5142857142857142,7,16,23,11,7,5,10,32,106,5.0476190476190474,43,65,461,227,341,2307,0.950016701387423,0.9980837162580658,1.03849764481333,0.808668634849722,0.95122107383025,0.9182138273512804
Jahlil Okafor,21,C,599,168,252,0.6666666666666666,12,168,252,12,0.6666666666666666,0,0,NaN,0,58,108,0.5370370370370371,1.3333333333333333,NaN,1.5634920634920635,71,102,173,29,18,34,50,41,394,18.761904761904763,784,93,56,7150,867,550,0.8285781272807484,0.936353455635667,0.8892162307232053,0.8059469505002149,0.8048471141531633,0.9228623145300741
Justise Winslow,22,F,608,98,190,0.5157894736842106,8.636363636363637,74,136,6.181818181818182,0.5441176470588235,24,54,0.4444444444444444,2.4545454545454546,54,90,0.6,1.088235294117647,1.3333333333333333,1.4421052631578948,28,117,145,59,33,18,38,50,274,12.454545454545455,190,287,1401,1182,1466,5373,0.9013687658121856,0.9278077372531053,0.932627828967456,0.8452200105341722,0.910132100958354,0.8935115282419165
Marshall Plumlee,22,C,251,25,30,0.8333333333333334,1.3636363636363635,24,29,1.3181818181818181,0.8275862068965517,1,1,1,0.045454545454545456,21,27,0.7777777777777778,1.6551724137931034,3,2.4,29,34,63,9,8,17,7,35,72,3.272727272727273,50,65,34,2871,683,444,0.7647905376140234,0.7777675301633574,0.8612457402852353,0.7068325575351185,0.8363577936717116,0.8571186329137614
Matt Jones,22,G,471,51,116,0.4396551724137931,5.2727272727272725,26,55,2.5,0.4727272727272727,25,61,0.4098360655737705,2.772727272727273,20,27,0.7407407407407407,0.9454545454545454,1.2295081967213115,1.2672413793103448,18,31,49,18,17,1,14,37,147,6.681818181818182,51,103,907,757,941,5047,0.9683570424212528,0.9403570923990469,0.9509313469594443,0.83976788730399,0.9018968709502524,0.8570757347303603
Quinn Cook,22,G,756,120,255,0.47058823529411764,11.590909090909092,58,102,4.636363636363637,0.5686274509803921,62,153,0.40522875816993464,6.954545454545454,39,42,0.9285714285714286,1.1372549019607843,1.2156862745098038,1.3372549019607842,8,68,76,72,23,0,26,39,341,15.5,160,304,3054,582,840,7643,0.9491386894651461,1.0343744781245356,1.0436742708849396,0.838330953981274,0.9537696055224485,0.9349413733229059
Rasheed Sulaimon,13,G,260,37,81,0.4567901234567901,6.230769230769231,20,42,3.230769230769231,0.47619047619047616,17,39,0.4358974358974359,3,16,23,0.6956521739130435,0.9523809523809523,1.3076923076923077,1.3209876543209877,2,22,24,25,12,1,16,23,107,8.23076923076923,86,134,1050,273,321,2430,0.9083823286045343,0.9925095130376738,1.0223390333208107,0.8174919112542336,0.8962824936571501,0.9417725399343075
Semi Ojeleye,6,F,63,5,18,0.2777777777777778,3,1,2,0.3333333333333333,0.5,4,16,0.25,2.6666666666666665,4,7,0.5714285714285714,1,0.75,1,3,11,14,1,3,0,0,11,18,3,3,9,64,255,247,428,0.9947058305866459,0.8446151193033903,0.7679820292135487,0.859949775642559,0.85693917311295,0.7932881298684126
Tyus Jones,22,G,700,64,161,0.39751552795031053,7.318181818181818,38,94,4.2727272727272725,0.40425531914893614,26,67,0.3880597014925373,3.0454545454545454,60,72,0.8333333333333334,0.8085106382978723,1.164179104477612,1.329192546583851,8,61,69,128,38,0,43,24,214,9.727272727272727,155,243,3818,571,671,6256,0.9140211180424941,0.9919079839288534,1.0394697618290283,0.7681404978364494,0.8327736720464207,0.9125417007230285
