name,games,position,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,mean_offgrav,mean_ongrav,avg_tot_grav
Amile Jefferson,22,F,481,65,95,0.6842105263157895,65,95,0.6842105263157895,0,0,NaN,30,55,0.5454545454545454,1.368421052631579,NaN,1.6842105263157894,60,78,138,25,15,14,25,48,160,0.7985431164545455,0.8396930902727273,0.8191181033636363
Grayson Allen,19,G,207,33,69,0.4782608695652174,19,31,0.6129032258064516,14,38,0.3684210526315789,26,30,0.8666666666666667,1.2258064516129032,1.105263157894737,1.536231884057971,7,15,22,11,7,5,10,32,106,0.9008974425789473,0.9961441245263158,0.9485207835526316
Jahlil Okafor,21,C,599,168,252,0.6666666666666666,168,252,0.6666666666666666,0,0,NaN,58,108,0.5370370370370371,1.3333333333333333,NaN,1.5634920634920635,71,102,173,29,18,34,50,41,394,0.7833697594285715,0.8358639462857143,0.8096168528571428
Justise Winslow,22,F,608,98,190,0.5157894736842106,74,136,0.5441176470588235,24,54,0.4444444444444444,54,90,0.6,1.088235294117647,1.3333333333333333,1.4421052631578948,28,117,145,59,33,18,38,50,274,0.8856409164090909,0.9313849185454546,0.9085129174772728
Marshall Plumlee,21,C,242,25,30,0.8333333333333334,24,29,0.8275862068965517,1,1,1,21,27,0.7777777777777778,1.6551724137931034,3,2.4,29,33,62,9,8,16,7,33,72,0.7233046297142858,0.8035791331904761,0.7634418814523809
Matt Jones,22,G,471,51,116,0.4396551724137931,26,55,0.4727272727272727,25,61,0.4098360655737705,20,27,0.7407407407407407,0.9454545454545454,1.2295081967213115,1.2672413793103448,18,31,49,18,17,1,14,37,147,0.8608906673636364,0.9447599717727273,0.9028253195681819
Nick Pagliuca,4,G,12,1,5,0.2,0,1,0,1,4,0.25,0,0,NaN,0,0.75,0.6,1,2,3,1,0,0,0,2,3,0.913061774,0.87718626525,0.895124019625
Quinn Cook,22,G,756,120,255,0.47058823529411764,58,102,0.5686274509803921,62,153,0.40522875816993464,39,42,0.9285714285714286,1.1372549019607843,1.2156862745098038,1.3372549019607842,8,68,76,72,23,0,26,39,341,0.9267389326818182,1.0302164520454546,0.9784776923636365
Rasheed Sulaimon,13,G,260,37,81,0.4567901234567901,20,42,0.47619047619047616,17,39,0.4358974358974359,16,23,0.6956521739130435,0.9523809523809523,1.3076923076923077,1.3209876543209877,2,22,24,25,12,1,16,23,107,0.9272606691538461,1.0207010713076923,0.9739808702307692
Sean Kelly,2,G,5,0,1,0,0,0,NaN,0,1,0,0,0,NaN,NaN,0,0,0,0,0,1,0,0,0,0,0,0.9525173764999999,0.883331798,0.9179245872499999
Semi Ojeleye,5,F,61,5,18,0.2777777777777778,1,2,0.5,4,16,0.25,4,7,0.5714285714285714,1,0.75,1,3,10,13,1,3,0,0,11,18,0.8067979622,0.775064523,0.7909312425999999
Tyus Jones,22,G,700,64,161,0.39751552795031053,38,94,0.40425531914893614,26,67,0.3880597014925373,60,72,0.8333333333333334,0.8085106382978723,1.164179104477612,1.329192546583851,8,61,69,128,38,0,43,24,214,0.8942112697727272,1.024901761409091,0.9595565155909092
