shooterID,distance_ten_seconds,distance_total_game,velocity,distance_closest_def,angle_closest_def,distance_second_def,angle_second_def,distance_closest_team,angle_closest_team,shot_distance,shot_angle,offense_hull,defense_hull,catch_and_shoot,result
player_842298,110.5803652,11673.78053,12.73308259,0,0,6.230128183,0.622865347,9.985769012,0.631391527,6.307320103,-0.097702342,287.4030433,116.0726131,0,0
player_842301,77.71495008,2119.593752,7.900593486,1.815384954,0.08455278,10.16610446,0.951431983,4.487225578,0.368971891,7.175954515,-1.277243138,429.302431,192.4627778,0,0
player_601143,75.57812446,2283.539266,3.697609415,6.680084822,0.65329598,7.71038244,0.235630543,12.7567438,0.403692391,23.9643557,-0.758316937,492.6564407,154.1716131,1,0
player_601143,47.61123664,11682.6189,13.48905355,1.707105531,3.026397445,2.962577297,1.979561758,3.113482865,2.441054172,2.002654716,0.392805677,181.7717067,107.4796163,0,1
player_842313,75.9850994,8450.851044,2.488816171,3.609888704,0.162036299,6.858710319,1.319777494,13.10090181,1.331556896,12.72376539,-0.211351434,487.7756995,144.8339702,1,0
player_601143,58.10590913,583.8135877,2.089548147,5.646422005,0.118283891,6.380943576,0.898076966,14.89153728,0.588171395,20.33555677,0.000815813,549.7068013,111.1095715,1,0
player_842298,71.44282418,4019.599315,4.937585802,6.316691919,0.473823562,6.609704454,1.19441522,5.08685586,1.060387822,17.23729257,0.707274522,166.3021098,99.08366435,0,0
player_842301,67.14478014,1007.266372,12.99917626,3.687006513,1.964968886,4.36300278,0.930397414,6.154823305,0.882992501,4.681824492,0.396052134,215.8746013,77.82915406,0,1
player_842298,75.4846402,9526.555146,15.13481007,2.331613433,2.982873615,3.313057896,0.606970381,9.028724722,0.622750285,2.250605473,0.456273484,353.2043215,76.33313996,0,0
player_842298,61.54965548,6619.555365,8.823710302,2.476163935,0.158937669,8.519106027,0.188934465,10.12713839,0.4333856,8.590882818,0.431479829,347.4413426,111.2943584,0,0
player_842313,40.97869912,53.53084811,5.197955149,1.058713617,0.10029079,1.639873201,0.049628171,9.872063646,1.031900209,4.956585563,-0.357150091,305.1722137,75.10669628,0,0
player_786843,52.28005202,1934.355327,6.141286672,3.98458602,0.352197371,6.124040036,1.127711376,4.729086034,0.792726392,19.93577887,1.330038008,408.3451125,186.0451823,0,0
player_842313,25.08551282,9080.161114,1.806264114,2.579743791,0.216661129,6.462611077,0.967387713,18.60069407,1.652331908,9.65868192,-0.228918467,409.7331871,113.5579989,1,0
player_842313,77.37890825,3162.907722,12.28598915,4.654111143,2.465424864,4.751851092,0.123891798,9.515421358,1.038739112,4.973087674,-1.508464692,536.8914017,301.0038824,1,1
player_842298,39.29774483,4190.250133,4.519130785,4.521431473,0.635590149,16.8956764,0.031651354,18.64751319,0.173879571,20.96817111,-0.071511133,315.9460975,75.92602137,1,0
player_842313,82.76165407,1219.869746,2.695071152,2.517250295,0.298008949,6.115104046,0.172638379,7.179302833,0.09740427,5.242566691,-0.449606909,344.4252217,98.70986263,0,0
player_842313,87.27160544,6229.94515,6.849299687,1.963059223,1.351784193,2.421047103,2.955371837,4.003764505,1.002690248,1.716810336,-0.652291943,336.5533768,29.00462925,1,1
player_842298,76.93350749,2302.871527,17.4888187,2.303175677,1.079517989,2.359114972,1.11922825,11.39251042,0.706293249,6.648903774,-0.39895434,564.1620118,74.93494699,0,0
player_842298,47.76192578,11264.00526,6.959778559,1.722568655,2.44521419,8.771014253,0.094326652,6.655910558,0.808897413,21.45190862,1.162373041,407.7733603,132.6800684,0,1
player_601143,102.8737366,14645.55818,16.55720802,1.011028668,1.202719,4.242833059,2.740944753,17.21402003,1.675191217,2.278644043,-0.655931628,786.0084322,63.65701533,0,1
player_842301,80.66920539,3414.354906,20.93075785,8.320375848,2.689096776,25.78815368,3.066237784,33.02685461,2.596235418,3.249697683,1.294247016,451.6732303,692.7862426,0,1
