shooterID,distance_ten_seconds,distance_total_game,velocity,distance_closest_def,angle_closest_def,distance_second_def,angle_second_def,distance_closest_team,angle_closest_team,shot_distance,shot_angle,offense_hull,defense_hull,catch_and_shoot,result
player_696290,52.56327522,8494.975351,3.305361714,2.248470045,0.320969612,16.48287624,0.832933919,16.68056107,1.196920728,21.90340327,0.07012511,345.7340765,171.6821547,1,0
player_842297,85.87225218,2341.139249,0.942388025,0.782843302,1.067631385,2.216493275,1.26129448,10.34738742,0.810642353,5.096622954,-0.760226635,399.688279,59.40563037,0,0
player_786843,61.77759468,8437.144709,3.258244089,4.138067055,0.039228219,13.91996169,1.10873991,18.51002111,1.544707862,21.56555545,-1.147789452,670.2158979,212.1523478,1,0
player_842297,97.43731011,3098.981931,12.77453045,1.745865303,1.764861995,4.282870086,0.557845206,6.769944568,1.342500689,7.317314495,-1.206195731,222.3825793,125.1575852,0,1
player_696290,67.18637618,3162.930988,13.11100582,3.370619057,0.905779407,6.903773025,0.474951694,2.559263366,0.778450794,5.460939606,0.064511666,323.7868138,100.962507,0,1
player_696290,49.62668267,4944.458236,2.096371975,7.812115581,0.331564959,21.86648512,0.955766661,20.66486294,0.492362918,22.73978504,-0.204960319,674.4318507,246.357917,1,1
player_696289,52.56524445,1425.882569,1.210032565,5.954433146,0.315364752,8.364685966,0.114960379,11.58781547,0.077978485,2.429340071,-0.009076664,333.0273426,63.33311631,1,1
player_696290,102.0120279,2932.286513,19.04753564,2.058523728,0.633166587,3.509862306,1.358855679,11.55858642,1.745109398,5.851178501,-0.178990131,642.2875916,21.36058672,0,1
player_696290,27.9545097,1979.028059,2.145081132,4.950755152,0.191220004,18.21828681,0.431833208,17.40474995,1.294061515,24.09746996,1.141230074,485.8461934,143.4486803,1,0
player_842297,50.06474117,3741.557755,7.784101974,2.315361864,0.766685629,9.74335114,0.029734481,4.778266925,0.664568024,21.68585932,1.325173239,368.905817,171.7179121,1,0
player_601143,26.10486125,12489.31098,1.594082669,7.808174536,1.512161995,9.092246052,0.370669124,17.01130269,0.224194699,21.94027885,0.876934281,323.1718329,104.9812413,1,1
player_696290,53.94411813,4416.489922,14.39494318,2.166944995,2.851513622,4.842947927,1.205161516,7.037735456,0.251585439,2.20235342,-0.142117308,241.8532313,140.474657,0,0
player_792415,59.59896078,194.1877658,6.278865296,4.048340538,1.090786691,7.241242237,0.048165809,2.611312419,0.963066444,21.46452118,-1.337518318,374.6794719,166.1368982,1,0
player_696290,61.46830427,4379.359926,10.00634525,3.869158602,0.003272742,4.158792565,0.953237845,9.479869798,1.752469163,6.684119375,-0.191195263,277.3176502,77.65337083,0,0
player_842297,84.57230128,1581.057346,2.490340303,3.213041751,0.7504735,14.32168674,0.418430284,15.26428179,1.351494356,21.574654,-0.032171534,458.2297381,240.9905914,1,1
