game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_three,frames_three,offball_zone_four,frames_four,offball_zone_five,frames_five,ball_three,frames_three_ball,ball_four,frames_four_ball,ball_five,frames_five_ball,name,position
18,20150119,Pitt,W,1,28,5,9,0.5555555555555556,5,9,0.5555555555555556,0,0,NaN,4,6,0.6666666666666666,1.1111111111111112,NaN,1.5555555555555556,1,2,3,5,0,1,2,3,14,0.8278359922219977,442,0.8475145649773514,28,1.002707987956207,23,0.8212737397840497,53,1.1305002187896438,4,0.8745402093262602,2,Jahlil Okafor,C
22,20150204,Georgia Tech,W,1,33,5,12,0.4166666666666667,5,12,0.4166666666666667,0,0,NaN,4,8,0.5,0.8333333333333334,NaN,1.1666666666666667,3,5,8,0,1,2,3,3,14,0.7854867192477905,418,0.7636816303028225,71,1.22474035970037,40,0.845702487566019,44,0.987930835204896,3,0.7977957295012202,3,Jahlil Okafor,C
23,20150207,Notre Dame,W,1,23,9,11,0.8181818181818182,9,11,0.8181818181818182,0,0,NaN,2,2,1,1.6363636363636365,NaN,1.8181818181818181,4,6,10,0,2,1,3,3,20,0.8012405015129354,321,0.8112182919045781,59,0.8309529497216627,19,0.8222609868712878,37,NaN,NA,1.099537319476356,1,Jahlil Okafor,C
26,20150218,UNC,W,1,41,6,11,0.5454545454545454,6,11,0.5454545454545454,0,0,NaN,0,6,0,1.0909090909090908,NaN,1.0909090909090908,4,9,13,3,2,1,5,1,12,0.7309873271264917,486,0.7374723484119914,66,0.9017268315156833,57,0.8339142522837818,45,0.8368604833113027,10,0.7868489093398016,12,Jahlil Okafor,C
29,20150304,Wake Forest,W,1,19,2,2,1,2,2,1,0,0,NaN,2,3,0.6666666666666666,2,NaN,3,0,4,4,1,0,0,3,2,6,0.8916147447260692,251,0.8857361743605058,37,0.8142007789098074,30,0.8247180244418071,23,0.8659474475719253,4,0.6678579225611951,2,Jahlil Okafor,C
31,20150312,NC State,W,1,19,5,8,0.625,5,8,0.625,0,0,NaN,0,0,NaN,1.25,NaN,1.25,2,2,4,1,0,1,1,3,10,0.6698388336114213,192,0.890163691949995,38,0.8497442003706043,18,0.7492239539393356,41,0.8912780841407144,2,0.5553707665881562,4,Jahlil Okafor,C
32,20150313,Notre Dame,L,1,35,13,18,0.7222222222222222,13,18,0.7222222222222222,0,0,NaN,2,8,0.25,1.4444444444444444,NaN,1.5555555555555556,3,5,8,0,1,2,1,3,28,0.8336878923095579,297,0.8558022082452077,31,0.8971138932053678,38,0.8237053300078018,38,0.8598762832778747,8,1.0301408714347504,8,Jahlil Okafor,C
33,20150320,Robert Morris,W,1,21,9,11,0.8181818181818182,9,11,0.8181818181818182,0,0,NaN,3,6,0.5,1.6363636363636365,NaN,1.9090909090909092,0,3,3,1,1,2,2,0,21,0.5813789818781285,302,0.5662735341967762,13,1.2816001553801761,5,1.0080516075305044,17,NaN,NA,NaN,NA,Jahlil Okafor,C
34,20150322,San Diego State,W,1,33,12,16,0.75,12,16,0.75,0,0,NaN,2,2,1,1.5,NaN,1.625,1,5,6,2,1,3,2,1,26,0.9229348329640128,393,0.8753721560383912,61,0.9513539014318598,48,0.8519995874038803,52,0.882104255258777,15,0.7919042162977314,3,Jahlil Okafor,C
1,20141114,Presbyterian,W,1,25,5,11,0.45454545454545453,1,1,1,4,10,0.4,0,0,NaN,2,1.2,1.2727272727272727,1,4,5,5,2,0,0,0,14,0.8650234524685145,11,0.9031695616776019,19,0.8534886101141957,173,0.9313219200654572,4,0.9853264592874955,9,0.955952361050134,80,Quinn Cook,G
