,shooter,game,x,y,value,NN_probability,SVM_probability
84,842298,20141231,26.54433,72.76849,2,0.555684388,0.456778392
85,842298,20141231,23.63377,87.77229,2,0.713570654,0.657742824
86,842298,20141231,3.61382,85.9479,3,0.631426096,0.481199946
87,842298,20141231,20.25066,90.23951,2,0.628783226,0.587795822
88,842298,20141231,25.85802,86.15989,2,0.551961422,0.466061625
89,842298,20141231,25.51336,87.96471,2,0.553042769,0.614654725
90,842298,20141231,48.80922,90.75507,3,0.377985686,0.463945653
91,842298,20141231,26.91741,21.90037,2,0.508086741,0.398977529
92,842298,20150103,4.11914,82.10619,3,0.223686829,0.51191296
93,842298,20150103,22.08641,89.28609,2,0.670303166,0.64969602
94,842298,20150103,21.53781,86.07782,2,0.557349265,0.494467243
95,842298,20150103,21.72575,84.94643,2,0.797526896,0.680245482
96,842298,20150103,26.93991,9.66539,2,0.827789307,0.586416746
97,842298,20150103,46.24709,4.22862,3,0.271223664,0.377379324
98,842298,20150103,23.68105,9.62417,2,0.553732991,0.465918088
99,842298,20150113,26.97452,87.42356,2,0.262862265,0.5
100,842298,20150113,24.20328,85.90065,2,0.550321281,0.411477841
101,842298,20150113,22.64599,88.65736,2,0.573780119,0.566645863
102,842298,20150113,47.1418,88.05623,3,0.265243351,0.386714529
103,842298,20150113,23.8976,8.85991,2,0.806394398,0.652731688
104,842298,20150113,3.35409,5.04834,3,0.288589209,0.363537764
105,842298,20150119,41.29611,89.18424,2,0.548073113,0.472029914
106,842298,20150119,4.42181,83.49568,3,0.359023273,0.463539932
107,842298,20150119,4.3759,80.63041,3,0.37383911,0.416763696
108,842298,20150119,46.2632,88.43893,3,0.268170923,0.461009348
109,842298,20150119,24.36016,10.55545,2,0.171186134,0.420208089
110,842298,20150119,45.97383,10.02777,3,0.639321983,0.413978531
111,842298,20150119,26.05235,9.29353,2,0.543127656,0.584703165
112,842298,20150204,28.32413,85.36066,2,0.556983054,0.560761242
113,842298,20150204,37.04521,70.52449,3,0.398009598,0.391237021
114,842298,20150204,24.80097,84.89433,2,0.686629236,0.656076296
115,842298,20150204,23.03529,89.08346,2,0.548609138,0.430199165
116,842298,20150204,26.11586,87.01103,2,0.738028944,0.583351064
117,842298,20150204,23.65097,9.20488,2,0.999227881,0.66191505
118,842298,20150207,23.61437,87.25019,2,0.867021143,0.685724373
119,842298,20150207,24.73708,85.60866,2,0.547672212,0.604103843
120,842298,20150207,26.65414,87.11075,2,0.995555937,0.659999251
121,842298,20150207,3.60886,87.27657,3,0.744229913,0.48949404
122,842298,20150207,27.85422,3.91174,2,0.430196792,0.414339835
123,842298,20150207,19.35443,26.61417,3,0.228535384,0.383397998
124,842298,20150207,24.91315,9.34468,2,0.469012499,0.642458305
125,842298,20150207,23.70507,5.66077,2,0.550832927,0.564186178
126,842298,20150207,23.17654,8.86788,2,0.550944686,0.5
127,842298,20150207,17.17846,-1.16595,2,0.547754943,0.566740517
128,842298,20150207,21.51981,7.44296,2,0.588049769,0.653380212
129,842298,20150218,13.83582,81.41805,2,0.55592531,0.565663185
130,842298,20150218,20.68059,86.94385,2,0.786810219,0.614640036
131,842298,20150218,23.17892,92.56138,2,0.548673749,0.572842895
132,842298,20150218,20.22662,5.80398,2,0.305091053,0.410909302
133,842298,20150218,22.75612,5.85593,2,0.589245737,0.588116231
134,842298,20150218,25.61757,10.3331,2,0.818771899,0.562742461
135,842298,20150218,22.83976,9.13013,2,0.11025551,0.37614517
136,842298,20150218,10.07358,22.43058,3,0.267578691,0.392039807
137,842298,20150218,22.22228,8.71817,2,0.53744024,0.66199494
138,842298,20150218,29.17851,7.33728,2,0.527585745,0.45465313
139,842298,20150221,28.3132,86.5809,2,0.849433601,0.652920044
140,842298,20150221,25.8908,86.96161,2,0.555482388,0.489829318
141,842298,20150221,8.10695,83.87972,2,0.189202935,0.52355908
142,842298,20150221,5.09555,79.04421,3,0.639575183,0.528484619
143,842298,20150221,21.82262,85.85165,2,0.713185787,0.668015796
144,842298,20150221,23.70772,87.40554,2,0.858317673,0.668897293
145,842298,20150221,23.59325,88.30609,2,0.551737249,0.64865095
146,842298,20150221,29.16937,89.41943,2,0.93720299,0.727654247
147,842298,20150221,26.37645,85.46386,2,0.955706775,0.656216944
148,842298,20150221,22.15767,73.2425,2,0.299141228,0.453406799
149,842298,20150221,27.35816,87.96479,2,0.556168199,0.657784223
150,842298,20150221,22.37571,9.64754,2,0.022752922,0.378382531
151,842298,20150221,26.90373,9.22156,2,0.66920799,0.573348949
152,842298,20150221,27.44261,6.17586,2,0.726095557,0.658120829
153,842298,20150228,21.82875,89.2015,2,0.864326477,0.632756428
154,842298,20150228,23.45276,89.41312,2,0.822164834,0.693040699
155,842298,20150228,38.63213,69.51994,3,0.473330468,0.376753003
156,842298,20150228,26.52773,89.57521,2,0.785318136,0.732850913
157,842298,20150228,4.09457,82.66544,3,0.360001117,0.410671142
158,842298,20150228,20.04045,89.98887,2,0.628031313,0.594426209
159,842298,20150228,27.84488,86.57827,2,0.886354804,0.670826736
160,842298,20150228,26.40358,88.9176,2,0.548209131,0.586400433
161,842298,20150228,23.2327,85.785,2,0.545792401,0.59435361
162,842298,20150228,16.23965,81.39942,2,0.488838404,0.4530824
163,842298,20150228,22.4969,84.64133,2,0.961120963,0.687747564
164,842298,20150228,29.57802,11.73821,2,0.42615962,0.398481436
165,842298,20150228,40.60215,22.34862,3,0.460784197,0.434997135
166,842298,20150228,34.52682,24.47941,3,0.242764354,0.471740817
167,842298,20150228,44.2149,18.25715,3,0.412992805,0.386885972
168,842298,20150228,22.36301,9.40951,2,0.93802768,0.674335589
169,842298,20150304,28.01011,86.97536,2,0.664738417,0.664552142
170,842298,20150304,22.71528,89.26965,2,0.546278477,0.66240705
171,842298,20150304,20.91766,86.80742,2,0.496612012,0.632360064
172,842298,20150304,24.67262,85.69925,2,0.809322953,0.595569923
173,842298,20150304,24.11271,85.62378,2,0.999027371,0.662581178
174,842298,20150304,24.28954,89.84545,2,0.900536776,0.598119169
175,842298,20150304,24.88037,86.10352,2,0.502467036,0.522605006
176,842298,20150304,43.80142,15.75635,3,0.354349673,0.420766807
177,842298,20150312,42.41215,18.48157,3,0.410781533,0.624503364
178,842298,20150312,27.32536,7.07718,2,0.510449827,0.484391679
179,842298,20150312,9.97802,20.32905,3,0.3115789,0.432451938
180,842298,20150312,27.85899,6.53743,2,0.752479196,0.57701643
181,842298,20150312,33.48312,69.06645,3,0.490028679,0.38729435
182,842298,20150312,22.21423,86.18042,2,0.669496655,0.560358999
183,842298,20150312,36.35037,76.53471,2,0.480073601,0.575181878
184,842298,20150313,22.68022,4.35647,2,0.554326832,0.663297126
185,842298,20150313,16.08381,11.17669,2,0.128107026,0.379096745
186,842298,20150313,21.89291,86.70701,2,0.768045485,0.658448097
187,842298,20150313,27.07018,88.07076,2,0.907399774,0.667684322
188,842298,20150313,22.43721,84.21675,2,0.190927684,0.456666253
189,842298,20150313,25.3167,88.17496,2,0.903082013,0.652651682
190,842298,20150313,24.36736,86.3079,2,0.903888822,0.661614863
191,842298,20150320,23.88956,11.03285,2,0.550703585,0.469350753
192,842298,20150320,11.73223,20.24894,2,0.47505635,0.392370241
193,842298,20150320,26.77206,10.95075,2,0.5509395,0.595094677
194,842298,20150320,3.67694,7.89609,3,0.554913759,0.385180992
195,842298,20150322,21.95444,88.82535,2,0.555492818,0.48322942
196,842298,20150322,28.17542,87.71386,2,0.553272426,0.588534374
197,842298,20150322,23.26856,86.90296,2,0.549424946,0.5
198,842298,20150322,24.74969,75.16654,2,0.544536591,0.533359821
199,842298,20150322,28.27616,86.73276,2,0.552212715,0.466172706
200,842298,20150322,22.70575,86.32407,2,0.540274143,0.5
201,842298,20150322,37.59066,17.5577,2,0.527710676,0.394762595
202,842298,20150322,25.77233,8.95004,2,0.72158581,0.68796949
203,842298,20150322,21.79001,23.79777,2,0.392751247,0.472134662
204,842298,20150322,29.98214,26.21564,3,0.232892096,0.50620263
205,842297,20141114,29.5493,89.83687,2,0.830577791,0.653189641
206,842297,20141114,4.25899,89.128,2,0.543876469,0.566144002
207,842297,20141114,35.74705,72.20105,2,0.546283543,0.443961408
208,842297,20141114,33.52108,73.15344,2,0.140825197,0.562680879
209,842297,20141114,40.55121,22.60868,3,0.396226466,0.409245574
210,842297,20141114,46.59751,4.35394,3,0.683825612,0.458683484
211,842297,20141114,23.29576,5.27956,2,0.984607995,0.658934629
212,842297,20141114,18.49039,25.76811,3,0.390582681,0.385905932
213,842297,20141115,20.00818,68.91827,2,0.546174765,0.5
214,842297,20141115,28.4196,66.94328,3,0.464425683,0.361102028
215,842297,20141115,23.9874,84.12781,2,0.718781471,0.661086514
216,842297,20141115,34.68327,9.91319,2,0.45822531,0.450912982
217,842297,20141115,40.41275,20.04183,3,0.269849062,0.384684836
218,842297,20141118,10.1588,70.81384,3,0.546219945,0.345414546
219,842297,20141118,27.5102,6.96365,2,0.754204631,0.658230954
220,842297,20141118,21.40016,28.79673,3,0.324082047,0.387725246
221,842297,20141118,28.0827,7.27485,2,0.726983488,0.543322568
222,842297,20141118,33.5199,24.93745,3,0.455873847,0.485205103
223,842297,20141121,37.9757,4.50368,2,0.55183506,0.373523826
224,842297,20141121,45.91458,3.75182,3,0.264665246,0.420844273
225,842297,20141121,22.31903,6.89573,2,0.667385221,0.544781552
226,842297,20141121,43.18158,15.69832,3,0.169490799,0.371653468
227,842297,20141121,43.02413,16.77847,3,0.430520177,0.387486177
228,842297,20141121,44.12196,7.84914,2,0.044716232,0.367904329
229,842297,20141121,39.23154,73.39547,3,0.335770726,0.386370378
230,842297,20141122,22.53675,15.89002,2,0.070465103,0.330406072
231,842297,20141122,21.59743,26.97038,3,0.208639547,0.386192416
232,842297,20141122,9.09147,89.17532,2,0.349295616,0.381552136
233,842297,20141122,45.69871,89.07447,2,0.327874273,0.361117475
234,842297,20141122,11.35976,71.6253,3,0.301401764,0.351915551
235,842297,20141122,25.04613,88.05942,2,0.690233529,0.5
236,842297,20141126,27.60794,86.70878,2,0.869351029,0.4861898
237,842297,20141126,5.80605,13.69869,3,0.082223572,0.385905456
238,842297,20141130,23.56175,82.62299,2,0.510849833,0.612333376
239,842297,20141130,22.38288,82.39348,2,0.554466188,0.642411322
240,842297,20141130,32.96627,66.93288,3,0.219683021,0.425637029
241,842297,20141130,45.36259,88.25631,2,0.331588179,0.386861618
242,842297,20141130,28.90252,86.11923,2,0.940178692,0.689695935
243,842297,20141130,45.8082,78.58424,3,0.020777725,0.386220693
244,842297,20141130,31.97007,8.99346,2,0.034766357,0.435745265
245,842297,20141130,39.10112,22.26694,3,0.301260561,0.444900576
246,842297,20141215,36.31448,88.91544,2,0.547688425,0.437973344
247,842297,20141229,9.78082,73.01066,3,0.195504248,0.385323288
248,842297,20141229,46.96748,6.43235,3,0.577207208,0.459135033
249,842297,20141229,3.89312,4.71081,3,0.42248553,0.421384906
250,842297,20141231,10.06256,69.59193,3,0.522736311,0.526586328
251,842297,20141231,19.31145,11.50168,2,0.168463051,0.402493692
252,842297,20141231,22.96846,8.30295,2,0.820237815,0.634202281
253,842297,20141231,46.24453,5.19233,3,0.437188804,0.409578993
254,842297,20150103,28.40593,82.7065,2,0.186253116,0.428862689
255,842297,20150103,30.91881,87.16703,2,0.162619576,0.347363533
