game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five,name,position
16,20150113,Miami (FL),L,1,33,6,13,0.46153846153846156,6,13,0.46153846153846156,0,0,NaN,3,5,0.6,0.9230769230769231,NaN,1.1538461538461537,8,7,15,0,0,0,2,2,15,0.738587485,0.845190686,0.892656507,0.78600952,0.70784951,0.693171637,0.872970743,0.828766275,0.632127336,0.933494103,Jahlil Okafor,C
18,20150119,Pitt,W,1,28,5,9,0.5555555555555556,5,9,0.5555555555555556,0,0,NaN,4,6,0.6666666666666666,1.1111111111111112,NaN,1.5555555555555556,1,2,3,5,0,1,2,3,14,1,0.77161395,0.881871622,0.847514565,1.002707988,0.587372071,0.82922601,0.814931035,1.130500219,0.874540209,Jahlil Okafor,C
22,20150204,Georgia Tech,W,1,33,5,12,0.4166666666666667,5,12,0.4166666666666667,0,0,NaN,4,8,0.5,0.8333333333333334,NaN,1.1666666666666667,3,5,8,0,1,2,3,3,14,0.880812314,0.771357472,0.796062634,0.76368163,1.22474036,-0.247829877,0.698005626,0.888547246,0.987930835,0.79779573,Jahlil Okafor,C
23,20150207,Notre Dame,W,1,23,9,11,0.8181818181818182,9,11,0.8181818181818182,0,0,NaN,2,2,1,1.6363636363636365,NaN,1.8181818181818181,4,6,10,0,2,1,3,3,20,1,0.765033324,0.809294562,0.811218292,0.83095295,0.695055604,0.739670924,0.83718079,NaN,1.099537319,Jahlil Okafor,C
26,20150218,UNC,W,1,41,6,11,0.5454545454545454,6,11,0.5454545454545454,0,0,NaN,0,6,0,1.0909090909090908,NaN,1.0909090909090908,4,9,13,3,2,1,5,1,12,1,0.696432606,0.792825575,0.73747234800000006,0.901726832,0.102494255,0.764278563,0.86886189,0.836860483,0.786848909,Jahlil Okafor,C
29,20150304,Wake Forest,W,1,19,2,2,1,2,2,1,0,0,NaN,2,3,0.6666666666666666,2,NaN,3,0,4,4,1,0,0,3,2,6,0.063178186,0.873044787,0.902642512,0.885736174,0.814200779,1.150699791,0.878865679,0.817601342,0.865947448,0.667857923,Jahlil Okafor,C
31,20150312,NC State,W,1,19,5,8,0.625,5,8,0.625,0,0,NaN,0,0,NaN,1.25,NaN,1.25,2,2,4,1,0,1,1,3,10,0.860453914,0.662029514,0.668274626,0.890163692,0.8497442,0.737884424,0.740882771,0.765310522,0.891278084,0.555370767,Jahlil Okafor,C
32,20150313,Notre Dame,L,1,35,13,18,0.7222222222222222,13,18,0.7222222222222222,0,0,NaN,2,8,0.25,1.4444444444444444,NaN,1.5555555555555556,3,5,8,0,1,2,1,3,28,0.776798131,0.772341688,0.888495424,0.855802208,0.897113893,-0.659746963,0.85077048,0.868304465,0.859876283,1.030140871,Jahlil Okafor,C
33,20150320,Robert Morris,W,1,21,9,11,0.8181818181818182,9,11,0.8181818181818182,0,0,NaN,3,6,0.5,1.6363636363636365,NaN,1.9090909090909092,0,3,3,1,1,2,2,0,21,0.738635374,0.584772486,0.501753203,0.566273534,1.281600155,1.486814711,1.140612909,0.991476711,NaN,NaN,Jahlil Okafor,C
34,20150322,San Diego State,W,1,33,12,16,0.75,12,16,0.75,0,0,NaN,2,2,1,1.5,NaN,1.625,1,5,6,2,1,3,2,1,26,0.926856174,0.910484155,0.931604569,0.875372156,0.951353901,0.899385065,0.834377373,0.874575796,0.882104255,0.791904216,Jahlil Okafor,C
1,20141114,Presbyterian,W,1,25,5,11,0.45454545454545453,1,1,1,4,10,0.4,0,0,NaN,2,1.2,1.2727272727272727,1,4,5,5,2,0,0,0,14,NaN,1.18459521,0.598713654,0.903169562,0.85348861,NaN,1.074658898,0.989016405,0.985326459,0.955952361,Quinn Cook,G
2,20141115,Fairfield,W,1,27,7,9,0.7777777777777778,4,5,0.8,3,4,0.75,0,0,NaN,1.6,2.25,1.8888888888888888,0,2,2,4,1,0,1,1,17,0.652845208,0.489063537,0.846691256,0.712671746,0.890524102,NaN,0.47783942,0.797545738,0.883365582,0.963954523,Quinn Cook,G
3,20141118,Michigan State,W,1,36,7,12,0.5833333333333334,4,8,0.5,3,4,0.75,2,2,1,1,2.25,1.5833333333333333,1,2,3,6,1,0,0,2,19,1,0.766337516,0.843820716,1.038429481,0.994153408,0.434192871,0.809499942,0.964964413,1.141922461,1.115708129,Quinn Cook,G
4,20141121,Temple,W,1,34,6,12,0.5,3,4,0.75,3,8,0.375,2,2,1,1.5,1.125,1.4166666666666667,0,5,5,1,2,0,2,2,17,1,0.851605843,0.614088111,0.891874016,0.948411866,0.180324543,1.028917887,1.11130662,0.976909229,1.037480671,Quinn Cook,G
5,20141122,Stanford,W,1,39,5,12,0.4166666666666667,1,3,0.3333333333333333,4,9,0.4444444444444444,4,4,1,0.6666666666666666,1.3333333333333333,1.5,0,3,3,5,1,0,1,2,18,0.669872621,0.625754109,0.681921346,0.817315131,0.94698046,0.600935534,0.850438033,1.215083002,1.06554427,1.046228296,Quinn Cook,G
6,20141126,Furman,W,1,24,4,10,0.4,1,1,1,3,9,0.3333333333333333,0,0,NaN,2,1,1.1,0,3,3,5,1,0,1,2,11,NaN,0.747217651,0.659803052,1.000406044,0.807335842,NaN,NaN,1.571473257,1.152999689,0.922547012,Quinn Cook,G
7,20141130,Army,W,1,30,5,12,0.4166666666666667,4,7,0.5714285714285714,1,5,0.2,2,2,1,1.1428571428571428,0.6,1.0833333333333333,0,2,2,2,3,0,1,1,13,NaN,0.89568802300000006,0.691395766,0.822725923,0.933882023,0.819917666,0.943966213,1.09679734,1.121753946,1.106957155,Quinn Cook,G
9,20141215,Elon,W,1,35,3,9,0.3333333333333333,2,3,0.6666666666666666,1,6,0.16666666666666666,0,0,NaN,1.3333333333333333,0.5,0.7777777777777778,0,2,2,4,1,0,1,1,7,0.46317511,0.797063037,0.932257353,0.894927986,0.920742265,1.780567621,0.983619245,1.091759133,1.088906056,1.07277164,Quinn Cook,G
11,20141229,Toledo,W,1,37,6,12,0.5,4,6,0.6666666666666666,2,6,0.3333333333333333,6,6,1,1.3333333333333333,1,1.6666666666666667,0,1,1,3,0,0,2,4,20,NaN,0.852904215,0.94511028,0.889405446,0.97942155,0.372873277,0.941813562,1.027765943,0.920240395,1.065459243,Quinn Cook,G
12,20141231,Wofford,W,1,35,5,8,0.625,2,2,1,3,6,0.5,2,2,1,2,1.5,1.875,0,1,1,2,1,0,0,1,15,0.73420279,0.907513136,1.162524734,0.994614022,0.959359117,1.074773157,1.262146497,0.89961255,1.00419256,0.97742867,Quinn Cook,G
13,20150103,Boston College,W,1,34,5,14,0.35714285714285715,2,5,0.4,3,9,0.3333333333333333,2,2,1,0.8,1,1.0714285714285714,1,2,3,2,1,0,3,3,15,NaN,0.712745765,0.63114185,0.846532139,0.910428415,NaN,0.735318694,1.121961251,1.119888772,0.957871807,Quinn Cook,G
16,20150113,Miami (FL),L,1,38,7,13,0.5384615384615384,3,6,0.5,4,7,0.5714285714285714,0,0,NaN,1,1.7142857142857142,1.3846153846153846,0,6,6,4,0,0,2,3,18,1,0.726629692,0.778176946,0.911389288,0.806403997,1.128434326,0.760585345,0.977888255,0.98920358,1.043047496,Quinn Cook,G
18,20150119,Pitt,W,1,38,3,10,0.3,2,2,1,1,8,0.125,4,4,1,2,0.375,1.1,1,9,10,2,1,0,1,0,11,1,0.993941244,1.09315575,1.095307109,1.013854909,1.011768766,0.67269047,0.995212137,0.918785926,1.113807869,Quinn Cook,G
22,20150204,Georgia Tech,W,1,37,6,14,0.42857142857142855,5,6,0.8333333333333334,1,8,0.125,4,5,0.8,1.6666666666666667,0.375,1.2142857142857142,0,3,3,4,1,0,0,1,17,1,0.828625924,0.808717488,0.903356377,0.937545848,1.739852791,1.464322367,0.893492659,1.260938358,1.095045378,Quinn Cook,G
