game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five,name,position
13,20150103,Boston College,W,1,27,0,5,0,0,4,0,0,1,0,3,4,0.75,0,0,0.6,0,4,4,3,0,0,2,0,3,NaN,1.072405316,0.987507536,1.016159818,1.006416606,NaN,0.523815001,0.90654674,0.962886463,1.024741889,Tyus Jones,G
16,20150113,Miami (FL),L,1,27,2,9,0.2222222222222222,2,6,0.3333333333333333,0,3,0,2,2,1,0.6666666666666666,0,0.6666666666666666,1,1,2,2,0,0,2,3,6,0.313484343,0.623033109,0.800799778,0.764922182,0.766670704,3.137675404,0.872397494,1.245463613,0.918971027,1.055616284,Tyus Jones,G
18,20150119,Pitt,W,1,38,7,11,0.6363636363636364,3,5,0.6,4,6,0.6666666666666666,4,5,0.8,1.2,2,2,1,1,2,4,0,0,3,1,22,0.37492067,1.054511268,0.926327167,0.955731407,0.966547536,0.569234657,1.082402737,NaN,1.156380453,1.069571216,Tyus Jones,G
22,20150204,Georgia Tech,W,1,38,3,10,0.3,1,6,0.16666666666666666,2,4,0.5,1,2,0.5,0.3333333333333333,1.5,0.9,0,2,2,5,3,0,4,2,9,1,0.605535723,0.830405332,0.767086207,0.877875993,NaN,0.934687106,0.826392408,0.925886776,1.034407391,Tyus Jones,G
23,20150207,Notre Dame,W,1,34,3,4,0.75,1,1,1,2,3,0.6666666666666666,4,6,0.6666666666666666,2,2,3,0,5,5,7,1,0,0,1,12,0.483890539,0.61819498,0.842512343,0.786045131,0.861789541,1.321079638,1.544996806,1.078052891,0.976175624,0.989627442,Tyus Jones,G
26,20150218,UNC,W,1,43,7,16,0.4375,5,11,0.45454545454545453,2,5,0.4,6,7,0.8571428571428571,0.9090909090909091,1.2,1.375,1,6,7,8,1,0,6,2,22,NaN,0.518919138,0.700600445,0.697839413,0.959867406,0.488073931,0.616474183,0.962303927,1.111253964,1.113050389,Tyus Jones,G
27,20150221,Clemson,W,1,39,4,11,0.36363636363636365,3,8,0.375,1,3,0.3333333333333333,2,2,1,0.75,1,1,0,2,2,9,4,0,3,2,11,0.886062378,0.914561431,0.801082602,0.836360721,0.90570532,0.012588726,0.777560561,1.005249357,1.036343958,1.013810954,Tyus Jones,G
30,20150304,Wake Forest,W,1,32,3,8,0.375,1,6,0.16666666666666666,2,2,1,2,3,0.6666666666666666,0.3333333333333333,3,1.25,0,4,4,5,3,0,1,0,10,0.527636234,0.996940468,0.687763863,0.920584031,1.060869244,0.794166671,1.306179121,1.250786,0.9206871,1.158118803,Tyus Jones,G
32,20150312,NC State,W,1,37,3,9,0.3333333333333333,3,7,0.42857142857142855,0,2,0,1,1,1,0.8571428571428571,0,0.7777777777777778,0,0,0,8,1,0,1,0,7,1,0.6974392,0.620839947,0.840611853,1.069445873,2.198177527,0.92298494,0.721239769,0.968734507,1.13907423,Tyus Jones,G
33,20150313,Notre Dame,L,1,40,4,13,0.3076923076923077,3,8,0.375,1,5,0.2,1,1,1,0.75,0.6,0.7692307692307693,0,4,4,5,1,0,4,3,10,1,0.742782819,0.672078701,0.762772172,0.882073795,0.252705215,0.954341187,0.851573875,0.904079295,1.083410189,Tyus Jones,G
34,20150320,Robert Morris,W,1,31,4,7,0.5714285714285714,2,2,1,2,5,0.4,0,0,NaN,2,1.2,1.4285714285714286,0,3,3,7,2,0,1,0,10,NaN,0.807226725,0.889620853,0.996004032,0.837693363,NaN,NaN,1.216894024,1.092048801,0.881925671,Tyus Jones,G
35,20150322,San Diego State,W,1,36,3,9,0.3333333333333333,3,8,0.375,0,1,0,0,0,NaN,0.75,0,0.6666666666666666,0,3,3,6,2,0,2,0,6,0.494852372,0.596846895,0.621546824,0.843833872,0.93550399,1.55237927,0.647897567,1.031419137,0.972015698,1.093930039,Tyus Jones,G
1,20141114,Presbyterian,W,1,16,2,4,0.5,2,4,0.5,0,0,NaN,0,0,NaN,1,NaN,1,6,4,10,0,0,0,1,4,4,0.898473182,0.833835593,0.789687191,0.965591526,1.189974275,NaN,0.852177167,0.835853708,1.352586898,1.475891989,Amile Jefferson,F
2,20141115,Fairfield,W,1,24,5,8,0.625,5,8,0.625,0,0,NaN,5,6,0.8333333333333334,1.25,NaN,1.875,4,5,9,3,1,0,2,1,15,1,0.721207166,0.760433079,0.874402394,0.840356562,-0.25909371,0.351620196,0.612840265,0.604655365,0.786506694,Amile Jefferson,F
3,20141118,Michigan State,W,1,21,2,3,0.6666666666666666,2,3,0.6666666666666666,0,0,NaN,2,4,0.5,1.3333333333333333,NaN,2,1,3,4,0,0,1,1,2,6,NaN,0.689615219,0.882973008,0.885959083,1.018781733,1.464325009,1.418616299,0.645997455,0.677794787,0.892201921,Amile Jefferson,F
4,20141121,Temple,W,1,31,3,5,0.6,3,5,0.6,0,0,NaN,2,5,0.4,1.2,NaN,1.6,4,4,8,1,0,1,0,3,8,0.740159927,0.72082908,0.7108938,0.784169022,0.754046496,0.24064647,0.508879374,1.235092248,0.725288784,1.086009488,Amile Jefferson,F
5,20141122,Stanford,W,1,24,3,6,0.5,3,6,0.5,0,0,NaN,3,4,0.75,1,NaN,1.5,4,3,7,2,2,1,0,3,9,0.668855412,0.634540918,0.640333813,0.73835163,0.748843935,0.752595903,0.293911567,0.900788055,0.66508409,0.674908608,Amile Jefferson,F
6,20141126,Furman,W,1,24,8,9,0.8888888888888888,8,9,0.8888888888888888,0,0,NaN,0,0,NaN,1.7777777777777777,NaN,1.7777777777777777,5,7,12,2,1,1,1,3,16,0.799897574,0.660920627,0.719720993,0.857539851,0.811821734,1.339362325,0.928482446,0.870095487,0.913938438,0.564647173,Amile Jefferson,F
7,20141130,Army,W,1,20,3,3,1,3,3,1,0,0,NaN,1,3,0.3333333333333333,2,NaN,2.3333333333333335,5,7,12,2,0,1,3,3,7,0.729671391,0.688247402,0.877564863,0.895985207,0.97917566,NaN,0.265363319,1.212216844,1.273235548,1.198912373,Amile Jefferson,F
9,20141215,Elon,W,1,22,6,7,0.8571428571428571,6,7,0.8571428571428571,0,0,NaN,1,3,0.3333333333333333,1.7142857142857142,NaN,1.8571428571428572,2,3,5,2,1,0,3,1,13,0.704955773,0.679299125,0.587671924,0.71410333,0.732915934,-1.427736127,0.401147092,0.537453743,0.961514288,0.943366812,Amile Jefferson,F
11,20141229,Toledo,W,1,25,1,2,0.5,1,2,0.5,0,0,NaN,0,1,0,1,NaN,1,3,5,8,2,2,0,1,4,2,0.708317372,0.750523266,0.710869813,0.785327985,0.940181044,6.164559946,2.28988143,0.918355681,0.794538366,0.915559505,Amile Jefferson,F
12,20141231,Wofford,W,1,18,3,6,0.5,3,6,0.5,0,0,NaN,4,6,0.6666666666666666,1,NaN,1.6666666666666667,3,2,5,0,0,0,1,3,10,0.825189602,0.699878249,0.535516131,0.70363375,0.813874038,2.633340155,0.919562684,0.594958048,0.542364825,0.709491839,Amile Jefferson,F
13,20150103,Boston College,W,1,17,2,2,1,2,2,1,0,0,NaN,0,1,0,2,NaN,2,2,2,4,1,0,0,1,2,4,0.897454929,0.80784068,0.886828065,0.825791709,0.855379309,2.557232835,0.666000852,1.486180869,0.975775162,1.020068268,Amile Jefferson,F
16,20150113,Miami (FL),L,1,29,7,9,0.7777777777777778,7,9,0.7777777777777778,0,0,NaN,0,3,0,1.5555555555555556,NaN,1.5555555555555556,6,6,12,1,1,0,2,2,14,1,0.674819717,0.609808457,0.703852469,0.794055255,0.754084712,0.706118837,0.904820586,0.686305419,0.650966812,Amile Jefferson,F
18,20150119,Pitt,W,1,32,2,6,0.3333333333333333,2,6,0.3333333333333333,0,0,NaN,4,4,1,0.6666666666666666,NaN,1.3333333333333333,3,6,9,0,3,1,0,1,8,0.832261126,0.791034047,0.903455968,0.803416676,0.891415663,0.487933361,0.450198928,0.627678549,0.653746997,0.807306957,Amile Jefferson,F
22,20150204,Georgia Tech,W,1,23,3,4,0.75,3,4,0.75,0,0,NaN,0,0,NaN,1.5,NaN,1.5,1,4,5,1,1,0,0,4,6,0.675554014,0.787967925,0.75051316,0.840672194,0.89282512,0.572320087,0.682327366,1.298923755,0.743293211,0.757443883,Amile Jefferson,F
23,20150207,Notre Dame,W,1,20,2,3,0.6666666666666666,2,3,0.6666666666666666,0,0,NaN,3,6,0.5,1.3333333333333333,NaN,2.3333333333333335,1,4,5,0,0,0,2,3,7,0.765450186,0.824367798,0.817225655,0.799948199,0.928408698,-0.040373243,0.605180091,0.729003562,0.713488522,NaN,Amile Jefferson,F
26,20150218,UNC,W,1,29,5,7,0.7142857142857143,5,7,0.7142857142857143,0,0,NaN,3,6,0.5,1.4285714285714286,NaN,1.8571428571428572,2,3,5,1,1,6,1,3,13,0.782369592,0.680705005,0.823645422,0.802728975,0.866138464,0.559943053,0.881612996,0.58852183,0.910167283,1.026260102,Amile Jefferson,F
27,20150221,Clemson,W,1,16,1,2,0.5,1,2,0.5,0,0,NaN,0,0,NaN,1,NaN,1,0,0,0,0,0,0,2,1,2,0.915974763,0.888376489,0.853213252,0.81893618,0.832983368,-0.86215107,0.842672054,0.850015858,0.865202954,NaN,Amile Jefferson,F
30,20150304,Wake Forest,W,0,20,2,2,1,2,2,1,0,0,NaN,0,0,NaN,2,NaN,2,3,2,5,4,1,1,1,1,4,0.732684352,0.834254313,0.689281345,0.86227034,0.81340733,-0.532090001,0.587355303,0.840969515,0.727797192,0.840835046,Amile Jefferson,F
32,20150312,NC State,W,0,20,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,1,3,4,0,1,0,1,0,0,0.881664744,0.886069751,0.833656229,0.921772787,1.087295357,0.234959661,1.019122375,-0.075373028,1.110515532,1.195766065,Amile Jefferson,F
33,20150313,Notre Dame,L,0,12,1,1,1,1,1,1,0,0,NaN,0,0,NaN,2,NaN,2,2,1,3,0,0,1,0,2,2,0.938757286,0.831216498,0.880752615,0.878083003,0.890415873,NaN,NaN,NaN,0.851415156,0.908986914,Amile Jefferson,F
34,20150320,Robert Morris,W,0,29,4,6,0.6666666666666666,4,6,0.6666666666666666,0,0,NaN,2,3,0.6666666666666666,1.3333333333333333,NaN,1.6666666666666667,2,4,6,3,0,0,2,1,10,0.762559442,0.716771915,0.794952155,0.857899984,0.827838625,1.051135217,0.559244834,1.061125084,0.961993067,1.099053052,Amile Jefferson,F
35,20150322,San Diego State,W,0,9,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0.772836182,0.855779377,0.793124122,0.960526502,0.79933132,NaN,NaN,NaN,NaN,0.762450206,Amile Jefferson,F
1,20141114,Presbyterian,W,0,13,3,4,0.75,1,2,0.5,2,2,1,0,1,0,1,3,2,0,1,1,1,0,0,1,0,8,NaN,0.999782285,1.188202482,1.053677456,0.859712115,NaN,0.880217544,1.444021048,0.778276417,0.913826824,Matt Jones,G
2,20141115,Fairfield,W,0,19,3,4,0.75,2,2,1,1,2,0.5,2,3,0.6666666666666666,2,1.5,2.25,1,4,5,0,2,0,0,3,9,0.882602619,0.787272737,1.025670511,0.999305989,0.886204733,1.652087857,NaN,1.036090912,NaN,0.921359244,Matt Jones,G
3,20141118,Michigan State,W,0,22,1,4,0.25,1,2,0.5,0,2,0,2,2,1,1,0,1,0,0,0,1,0,0,0,3,4,0.703580287,0.838322583,0.8948893,0.885661614,0.87444818,0.904526301,0.727687921,NaN,0.919414211,1.017162141,Matt Jones,G
4,20141121,Temple,W,0,16,1,3,0.3333333333333333,0,0,NaN,1,3,0.3333333333333333,0,0,NaN,NaN,1,1,0,0,0,2,0,0,0,0,3,0.575587771,0.636347916,0.6930844,0.951183979,0.85748582,NaN,0.919488608,0.973678688,0.919599308,0.929454031,Matt Jones,G
5,20141122,Stanford,W,0,18,4,7,0.5714285714285714,2,4,0.5,2,3,0.6666666666666666,0,0,NaN,1,2,1.4285714285714286,0,1,1,0,1,0,2,2,10,0.921399399,0.744832717,0.9111809,0.998010959,0.890274456,1.681683556,0.822878372,0.938328673,0.807496339,0.979549392,Matt Jones,G
6,20141126,Furman,W,0,19,4,5,0.8,0,0,NaN,4,5,0.8,1,2,0.5,NaN,2.4,2.6,0,3,3,2,0,0,0,1,13,1,0.763278006,0.652904523,0.800200904,0.8044345,NaN,0.993001548,0.733083321,1.157698799,0.85657377,Matt Jones,G
7,20141130,Army,W,0,18,2,3,0.6666666666666666,2,2,1,0,1,0,2,3,0.6666666666666666,2,0,2,0,1,1,1,2,0,2,2,6,1,0.892338172,0.704772728,0.810146057,0.697321514,0.767041033,NaN,NaN,0.971031025,1.040989443,Matt Jones,G
9,20141215,Elon,W,0,20,1,6,0.16666666666666666,1,2,0.5,0,4,0,1,1,1,1,0,0.5,0,1,1,0,1,0,2,0,3,1,1.019106633,0.941913859,0.869250753,0.757039933,NaN,1.408477159,0.758604865,1.007003631,0.959842453,Matt Jones,G
11,20141229,Toledo,W,0,17,1,4,0.25,1,3,0.3333333333333333,0,1,0,0,0,NaN,0.6666666666666666,0,0.5,1,1,2,0,1,0,1,2,2,0.875468447,0.670958069,0.874721471,0.889018269,0.806271422,0.440105281,0.880676297,0.958195547,0.918972237,0.79781277,Matt Jones,G
12,20141231,Wofford,W,0,18,0,4,0,0,3,0,0,1,0,2,2,1,0,0,0.5,0,2,2,1,2,0,0,3,2,0.830836774,0.694850874,0.765872449,0.809783735,0.882862962,-0.462202605,NaN,NaN,NaN,0.851963902,Matt Jones,G
13,20150103,Boston College,W,0,27,3,7,0.42857142857142855,1,3,0.3333333333333333,2,4,0.5,0,0,NaN,0.6666666666666666,1.5,1.1428571428571428,4,0,4,1,1,0,0,1,8,0.925120117,0.747247703,0.948287477,0.930666534,0.872363513,0.936349966,NaN,NaN,0.885253894,0.895484414,Matt Jones,G
16,20150113,Miami (FL),L,0,6,0,0,NaN,0,0,NaN,0,0,NaN,1,2,0.5,NaN,NaN,Inf,0,1,1,1,0,0,1,4,1,NaN,1,1.018298041,0.772927946,0.809251914,NaN,NaN,NaN,NaN,0.945950221,Matt Jones,G
18,20150119,Pitt,W,0,10,0,2,0,0,2,0,0,0,NaN,0,0,NaN,0,NaN,0,1,0,1,0,0,0,0,0,0,NaN,0.71890474,0.955674677,0.961214017,0.892038143,0.484981212,NaN,NaN,0.970173385,0.978026027,Matt Jones,G
22,20150204,Georgia Tech,W,0,22,4,9,0.4444444444444444,3,5,0.6,1,4,0.25,2,2,1,1.2,0.75,1.2222222222222223,3,2,5,0,1,0,1,0,11,1,0.883513429,0.805912905,0.831463206,0.847827233,1.314678414,0.862582875,0.90522547,0.979789158,0.873970892,Matt Jones,G
23,20150207,Notre Dame,W,0,27,6,9,0.6666666666666666,3,4,0.75,3,5,0.6,2,2,1,1.5,1.8,1.8888888888888888,0,1,1,1,1,0,0,2,17,0.675424471,0.69771086,0.743077619,0.969269147,0.900344655,NaN,0.996421767,0.706099227,1.064923031,0.953212426,Matt Jones,G
26,20150218,UNC,W,0,27,2,4,0.5,1,3,0.3333333333333333,1,1,1,0,0,NaN,0.6666666666666666,3,1.25,3,2,5,1,1,0,0,3,5,0.2617296,0.830101183,0.778820578,0.833078295,0.853913341,NaN,0.839635737,0.706946055,1.101502401,0.985872563,Matt Jones,G
27,20150221,Clemson,W,1,25,2,7,0.2857142857142857,1,1,1,1,6,0.16666666666666666,0,0,NaN,2,0.5,0.7142857142857143,2,3,5,0,1,0,0,2,5,1,0.940839841,0.782583247,0.819390225,0.809854757,NaN,0.722645905,1.078530789,1.071512172,0.947502132,Matt Jones,G
30,20150304,Wake Forest,W,1,28,7,15,0.4666666666666667,4,5,0.8,3,10,0.3,0,0,NaN,1.6,0.9,1.1333333333333333,1,3,4,2,1,1,1,3,17,0.714262852,0.821338311,0.8270325,0.883953809,0.815656191,0.965112696,0.883400909,1.227646621,0.916066201,0.910261673,Matt Jones,G
32,20150312,NC State,W,1,28,3,5,0.6,2,4,0.5,1,1,1,4,5,0.8,1,3,2.2,0,1,1,0,0,0,0,1,11,0.70104071,0.836884066,0.928562409,0.837159214,0.884455827,2.125864216,1.69783031,1.058434469,0.97640188000000006,1.00414537,Matt Jones,G
33,20150313,Notre Dame,L,1,28,1,4,0.25,0,2,0,1,2,0.5,1,2,0.5,0,1.5,1,1,0,1,0,1,0,0,1,4,0.867248954,0.680279978,0.783877846,0.864722918,0.810859679,-0.14312294,NaN,0.552068572,0.968720453,1.060606141,Matt Jones,G
34,20150320,Robert Morris,W,1,29,2,5,0.4,1,3,0.3333333333333333,1,2,0.5,0,0,NaN,0.6666666666666666,1.5,1,0,1,1,4,1,0,2,1,5,0.746764126,0.789648238,0.704878886,1.007909016,0.9336356,6.499671232,0.879700801,0.949739375,0.965498636,0.959176929,Matt Jones,G
35,20150322,San Diego State,W,1,34,1,5,0.2,0,3,0,1,2,0.5,0,0,NaN,0,1.5,0.6,1,3,4,0,0,0,1,3,3,0.940249632,0.896463625,0.928774701,0.990125882,0.947585631,NaN,0.870399211,1.144238457,0.900445686,1.069162066,Matt Jones,G
1,20141114,Presbyterian,W,0,18,5,7,0.7142857142857143,3,4,0.75,2,3,0.6666666666666666,6,7,0.8571428571428571,1.5,2,2.5714285714285716,0,1,1,3,3,1,1,1,18,NaN,0.916102901,0.905539913,0.857312121,0.880045291,1.125642669,0.990314794,NaN,1.122709736,1.028881671,Grayson Allen,G
2,20141115,Fairfield,W,0,13,3,5,0.6,2,2,1,1,3,0.3333333333333333,2,2,1,2,1,1.8,0,1,1,1,2,0,1,5,9,NaN,0.784014881,0.598613362,1.105211821,0.936021237,1.790657945,NaN,1.32243697,1.028901775,1.049679151,Grayson Allen,G
4,20141121,Temple,W,0,6,1,1,1,0,0,NaN,1,1,1,3,4,0.75,NaN,3,6,0,0,0,0,0,0,0,0,6,NaN,1,0.779000104,0.908625757,0.862186714,NaN,NaN,NaN,NaN,0.839026346,Grayson Allen,G
5,20141126,Furman,W,0,13,2,7,0.2857142857142857,1,2,0.5,1,5,0.2,0,0,NaN,1,0.6,0.7142857142857143,2,1,3,1,0,1,1,3,5,0.808888159,0.930967421,0.782988443,0.733640119,0.76826059,NaN,0.944486487,0.90241084,1.145936251,0.817049127,Grayson Allen,G
6,20141130,Army,W,0,10,0,2,0,0,0,NaN,0,2,0,0,0,NaN,NaN,0,0,0,1,1,1,0,0,0,1,0,0.846349408,0.863510961,0.555231892,0.860643544,0.920546701,NaN,NaN,NaN,0.769115511,0.999588443,Grayson Allen,G
7,20141215,Elon,W,0,8,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,1,1,0,1,0,1,0,0,NaN,0.911056632,0.930552513,0.971696046,0.799379124,NaN,NaN,1.237092225,NaN,0.888560547,Grayson Allen,G
9,20141229,Toledo,W,0,3,0,1,0,0,1,0,0,0,NaN,0,0,NaN,0,NaN,0,0,0,0,0,0,0,1,1,0,NaN,0.885788673,0.596174011,0.98123321,1.159903044,NaN,NaN,0.620526808,0.869358677,0.963058758,Grayson Allen,G
10,20141231,Wofford,W,0,4,1,1,1,0,0,NaN,1,1,1,0,0,NaN,NaN,3,3,0,0,0,0,0,0,0,0,3,NaN,0.911874614,0.818592439,0.910190573,0.837472952,NaN,NaN,0.903549789,1.004756527,0.867165372,Grayson Allen,G
11,20150103,Boston College,W,0,6,0,3,0,0,1,0,0,2,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0.4473366,0.169299231,1.125172762,1.020440147,1.299621041,NaN,NaN,NaN,1.099305967,Grayson Allen,G
14,20150113,Miami (FL),L,0,8,1,2,0.5,1,1,1,0,1,0,2,2,1,2,0,2,1,0,1,0,0,0,1,0,4,NaN,0.631622948,0.4133356,0.762984186,0.95738076,NaN,1.426313621,NaN,0.966490201,1.082561147,Grayson Allen,G
18,20150204,Georgia Tech,W,0,3,0,1,0,0,0,NaN,0,1,0,0,0,NaN,NaN,0,0,1,0,1,0,0,0,0,0,0,NaN,1.382498873,0.332529244,1.222848374,0.832501176,NaN,NaN,NaN,0.914744311,0.985273791,Grayson Allen,G
19,20150207,Notre Dame,W,0,16,1,3,0.3333333333333333,0,1,0,1,2,0.5,2,2,1,0,1.5,1.6666666666666667,0,2,2,1,0,1,0,0,5,NaN,0.838304315,0.958152262,1.139255367,0.954299775,NaN,0.896399897,0.892084577,0.957156151,1.016225331,Grayson Allen,G
22,20150218,UNC,W,0,4,0,2,0,0,2,0,0,0,NaN,2,2,1,0,NaN,1,0,0,0,0,0,0,0,0,2,0.299093934,0.958462335,0.8700533,NaN,0.828078631,0.780961972,1.000581341,NaN,0.854156143,1.091915211,Grayson Allen,G
23,20150221,Clemson,W,0,18,3,5,0.6,2,2,1,1,3,0.3333333333333333,3,3,1,2,1,2,0,2,2,1,0,0,1,3,10,NaN,0.798377636,0.740584941,0.903800285,0.892212797,2.897345138,0.89945005,0.760533167,1.000084185,1.113590764,Grayson Allen,G
26,20150304,Wake Forest,W,0,24,9,11,0.8181818181818182,5,6,0.8333333333333334,4,5,0.8,5,6,0.8333333333333334,1.6666666666666667,2.4,2.4545454545454546,2,2,4,0,0,0,0,3,27,1,0.704135921,0.902498859,1.055571454,1.003488009,0.064597425,0.848852155,0.950107183,1.012144984,1.060189038,Grayson Allen,G
28,20150312,NC State,W,0,21,5,10,0.5,4,6,0.6666666666666666,1,4,0.25,0,0,NaN,1.3333333333333333,0.75,1.1,1,2,3,3,0,2,1,5,11,1,0.70712706,0.778236138,0.851946735,0.960554647,3.563579206,1.099038068,0.757850957,1.039179266,1.087339448,Grayson Allen,G
29,20150313,Notre Dame,L,0,11,0,3,0,0,1,0,0,2,0,0,0,NaN,0,0,0,0,1,1,0,1,0,2,4,0,NaN,0.680228899,0.737133116,1.00949403,0.806374807,0.126397569,NaN,0.981624724,0.99328288,0.908945037,Grayson Allen,G
30,20150320,Robert Morris,W,0,12,0,3,0,0,1,0,0,2,0,1,2,0.5,0,0,0.3333333333333333,0,0,0,0,0,0,0,1,1,1,0.82056507,0.710076484,1.083367872,0.887447472,NaN,NaN,1.091810528,1.572914701,1.14261489,Grayson Allen,G
31,20150322,San Diego State,W,0,9,2,2,1,1,1,1,1,1,1,0,0,NaN,2,3,2.5,0,1,1,0,0,0,0,4,5,1,0.739234303,0.865341435,0.906683325,1.036901007,NaN,0.810845422,0.781901444,0.873926269,0.989630617,Grayson Allen,G
1,20141114,Presbyterian,W,0,18,4,4,1,3,3,1,1,1,1,3,3,1,2,3,3,0,2,2,4,2,1,1,0,12,NaN,0.680674694,0.701313621,0.643529103,0.895868463,2.32500329,0.719715594,1.075621929,1.070471076,1.105062719,Rasheed Sulaimon,G
2,20141115,Fairfield,W,0,18,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,4,1,0,0,1,0,1,0.5220385,0.585100495,0.969341461,1.028692877,NaN,0.952461572,0.893285212,1.083587364,1.028771276,Rasheed Sulaimon,G
3,20141118,Michigan State,W,0,12,1,4,0.25,0,1,0,1,3,0.3333333333333333,0,0,NaN,0,1,0.75,0,1,1,0,1,0,2,0,3,NaN,1.07366903,0.863991065,1.04407106,1.022692915,NaN,0.651535108,0.862230003,0.982623303,1.097763955,Rasheed Sulaimon,G
4,20141121,Temple,W,0,14,1,5,0.2,1,4,0.25,0,1,0,0,2,0,0.5,0,0.4,0,2,2,0,0,0,2,3,2,1,0.650171318,0.773700692,1.045405086,1.023439216,1.279272687,0.720924271,0.679602141,0.935249353,1.006817576,Rasheed Sulaimon,G
5,20141122,Stanford,W,0,19,2,5,0.4,1,2,0.5,1,3,0.3333333333333333,1,3,0.3333333333333333,1,1,1.2,0,1,1,2,0,0,1,0,6,0.739178536,0.496726907,0.924328388,1.108192572,0.937458963,NaN,0.767384354,0.888329007,0.87200241,1.02009557,Rasheed Sulaimon,G
6,20141126,Furman,W,0,19,4,8,0.5,3,4,0.75,1,4,0.25,0,0,NaN,1.5,0.75,1.125,0,2,2,2,0,0,0,2,9,NaN,0.627094817,0.821420955,0.643206482,0.775618213,NaN,1.602755974,0.83974538,1.028615812,0.993679573,Rasheed Sulaimon,G
7,20141130,Army,W,0,26,4,10,0.4,3,6,0.5,1,4,0.25,4,4,1,1,0.75,1.3,0,2,2,2,1,0,0,2,13,1,0.858695524,0.823215171,0.968880302,0.934151745,1.402671604,0.793123669,1.012050397,1.032730905,1.151420805,Rasheed Sulaimon,G
9,20141215,Elon,W,0,26,4,9,0.4444444444444444,3,7,0.42857142857142855,1,2,0.5,2,2,1,0.8571428571428571,1.5,1.2222222222222223,0,3,3,3,2,0,0,3,11,0.665868815,0.920690471,1.004230424,0.821316474,0.946884336,3.032065258,1.156070893,0.884038563,0.967944814,1.026330721,Rasheed Sulaimon,G
11,20141229,Toledo,W,0,18,2,5,0.4,1,2,0.5,1,3,0.3333333333333333,2,3,0.6666666666666666,1,1,1.4,1,1,2,0,0,0,3,3,7,1,0.901143205,0.968637185,0.95681643,0.858738194,1.874760698,0.548489844,0.900367905,1.006159026,0.903942715,Rasheed Sulaimon,G
12,20141231,Wofford,W,0,19,2,4,0.5,1,2,0.5,1,2,0.5,1,2,0.5,1,1.5,1.5,0,2,2,2,0,0,2,3,6,NaN,0.957171829,0.897093323,1.086355559,0.880135244,NaN,0.973136777,0.992747239,1.07474304,0.939704257,Rasheed Sulaimon,G
13,20150103,Boston College,W,0,20,4,7,0.5714285714285714,1,4,0.25,3,3,1,0,0,NaN,0.5,3,1.5714285714285714,0,3,3,2,1,0,1,0,11,1,0.005408296,1.124445429,0.943203666,0.980432881,0.099694503,0.981891491,0.903938773,0.927933161,0.986696052,Rasheed Sulaimon,G
16,20150113,Miami (FL),L,0,26,5,14,0.35714285714285715,3,6,0.5,2,8,0.25,2,2,1,1,0.75,1,0,0,0,3,2,0,3,4,14,1,0.688822926,0.728201526,0.795204424,0.816080809,1.865792787,0.766413148,0.828589389,0.936706426,0.93065575,Rasheed Sulaimon,G
18,20150119,Pitt,W,0,25,4,6,0.6666666666666666,0,1,0,4,5,0.8,1,2,0.5,0,2.4,2.1666666666666665,1,3,4,1,2,0,1,2,13,NaN,0.791385156,0.885433673,0.925684479,1.09046989,NaN,0.867632789,1.016028978,1.012689018,1.109184788,Rasheed Sulaimon,G
1,20141114,Presbyterian,W,0,17,1,2,0.5,0,1,0,1,1,1,2,2,1,0,3,2.5,4,3,7,3,2,0,1,3,5,0.563481211,0.836437644,0.816300339,1.010468052,1.052258055,NaN,0.679534297,0.711075441,0.759316403,NaN,Marshall Plumlee,C
2,20141115,Fairfield,W,0,13,3,3,1,3,3,1,0,0,NaN,2,2,1,2,NaN,2.6666666666666665,1,0,1,0,0,1,0,0,8,0.808479645,0.686186682,0.613512521,0.703038841,0.99580677,0.703630023,1.170547201,0.877734512,0.720096382,0.540502304,Marshall Plumlee,C
3,20141118,Michigan State,W,0,9,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,2,0,NaN,0.847883624,0.921019192,1.053356941,0.9228565,NaN,NaN,NaN,NaN,NaN,Marshall Plumlee,C
4,20141121,Temple,W,0,11,1,1,1,1,1,1,0,0,NaN,0,0,NaN,2,NaN,2,1,4,5,1,2,2,1,0,2,0.760894694,0.720238247,0.569044151,0.802574875,0.693501439,NaN,NaN,0.020545154,0.830067952,0.662491154,Marshall Plumlee,C
